,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Responding to,Upvotes,Downvotes
10,Breitbart News Network,Plaudits Flow as Top Figure in Modern Judaism Dies in Israel,['2020/08/07'],34 comments,https://www.breitbart.com/middle-east/2020/08/07/plaudits-flow-as-top-figure-in-modern-judaism-dies-in-israel/,✦ Björn Free ✦,"As an Evangelical, I always thought that the  original Tanakh was in Hebrew and/or Aramaic. I did not know it was written in ""Babylonian."" .This wonderful scholar is as venerated by me as those who painstakingly transcribed the original manuscripts into Koine Greek and gave the world the Septuagint during the time of King Alexander the Great when Koine Greek ('gutter Greek') which was the international language of commerce at the time - as opposed to the Classic Greek..RIP.",,10,?
11,Breitbart News Network,Pelosi: Trump Is ‘Projecting Himself’ When He Says Biden Is Against God — He Know…,['2020/08/07'],280 comments,https://www.breitbart.com/clips/2020/08/07/pelosi-trump-is-projecting-himself-when-he-says-biden-is-against-god-he-knows-nothing-about-church/,✦ Björn Free ✦,Bella Pelosi is the Queen of Amorality.,,6,?
12,Breitbart News Network,"Kudlow: We’re Drafting Executive Orders, Considering Reemployment Benefits",['2020/08/06'],249 comments,https://www.breitbart.com/clips/2020/08/06/kudlow-were-drafting-executive-orders-considering-reemployment-benefits/,✦ Björn Free ✦,If the schools are closed.....why are student loans needed?,,35,?
13,Breitbart News Network,Bette Midler: ‘Trump’s Thinking of Something Nuts’ and He May Tweet ‘A D*…,['2020/08/06'],359 comments,https://www.breitbart.com/entertainment/2020/08/06/bette-midler-trumps-thinking-of-something-nuts-and-he-may-tweet-a-dck-pic/,✦ Björn Free ✦,"....fat, dumb, and ugly. (Inside & outside) .....Enjoy your wealth, lovey.",,68,?
14,Breitbart News Network,Michelle Obama: Coronavirus an Opportunity to Change ‘How Wealth Is D…,['2020/08/06'],6783 comments,https://www.breitbart.com/clips/2020/08/06/michelle-obama-coronavirus-opportunity-to-explore-how-wealth-is-distributed/,✦ Björn Free ✦,"Saul Alinsky's Rules for Radicals # 66.)  ""A good tactic is one that your people enjoy.""",,17,?
15,Breitbart News Network,Graham: Sally Yates Testimony a ‘Bad Day for Jim Comey’ — ‘About as Radioactive…,['2020/08/06'],40 comments,https://www.breitbart.com/clips/2020/08/06/graham-sally-yates-testimony-a-bad-day-for-jim-comey-about-as-radioactive-as-you-can-get/,✦ Björn Free ✦,"Oh ya! Here comes Wet-Noodle Lindsey Grahamnasty. ....he's really mad this time, boy!",,10,?
16,Breitbart News Network,1 in 4 Vote-by-Mail Ballots Disqualified in New York City Democrat Primary,['2020/08/05'],805 comments,https://www.breitbart.com/politics/2020/08/05/1-in-4-vote-by-mail-ballots-disqualified-in-new-york-city-democrat-primary/,✦ Björn Free ✦,1 in 4 Democrat voters are DEAD.,,22,?
17,Breitbart News Network,1 in 4 Vote-by-Mail Ballots Disqualified in New York City Democrat Primary,['2020/08/05'],805 comments,https://www.breitbart.com/politics/2020/08/05/1-in-4-vote-by-mail-ballots-disqualified-in-new-york-city-democrat-primary/,✦ Björn Free ✦,The only way the DNC can win general elections is by FRAUD!,,20,?
18,Breitbart News Network,Biden Late-Life Crisis: Touts Electric Corvettes While Firing Up Classic Car En…,['2020/08/05'],1285 comments,https://www.breitbart.com/politics/2020/08/05/biden-late-life-crisis-touts-electric-corvettes-while-firing-up-classic-car-engine/,✦ Björn Free ✦,.......'hunter green' corvette. Gotta love the irony.,,202,?
19,Breitbart News Network,"Poll: Americans Distrust, Blame Biased Media for Political Division",['2020/08/05'],395 comments,https://www.breitbart.com/the-media/2020/08/05/poll-americans-distrust-blame-biased-media-for-political-division/,✦ Björn Free ✦," The Media, like Democrats, Antifa & BLM are from The Abyss!",,23,?
20,Breitbart News Network,Gallup: Black Americans Support Police Presence in Communities,['2020/08/05'],670 comments,https://www.breitbart.com/politics/2020/08/05/gallup-black-americans-support-police-presence-communities/,✦ Björn Free ✦,Democrat-runned cities & States are a blight on America.,,11,1
21,Breitbart News Network,Gallup: Black Americans Support Police Presence in Communities,['2020/08/05'],670 comments,https://www.breitbart.com/politics/2020/08/05/gallup-black-americans-support-police-presence-communities/,✦ Björn Free ✦,"SO! Why do 90% of BLACKS vote Democrat???_________________________________ edit. Gimmee. Gimmee. Gimmee!!!Take. Take. Take.If Blacks reined in their own community, much of their problem would dissipate.",,14,1
22,The Gateway Pundit,CURL: The 'Debate About The Debates' Was Created Solely By Democrats,['2020/08'],76 comments,https://www.thegatewaypundit.com/2020/08/curl-debate-debates-created-solely-democrats/,✦ Björn Free ✦,"MSM: ""What dialectic can we manufacture Today???""",,12,?
23,Breitbart News Network,Donald Trump: Joe Biden Is Whatever Radical Left ‘Tell Him to Be’,['2020/08/05'],84 comments,https://www.breitbart.com/politics/2020/08/05/donald-trump-joe-biden-is-whatever-radical-left-tell-him-to-be/,✦ Björn Free ✦,Joe Biden defines BRAIN FREEZE!,,17,?
24,Breitbart News Network,Navy SEALs Cut Ties with Museum over Colin Kaepernick Video,['2020/08/04'],330 comments,https://www.breitbart.com/sports/2020/08/04/navy-seals-cut-ties-with-museum-over-colin-kaepernick-video/,✦ Björn Free ✦,....I don't think I want that commander of Navy Seals protecting me & my family...........WE do not share the same values.__________________________________________Gawd that was difficult to say!!!!,,23,?
25,The Gateway Pundit,A Grand Total of 136 People Tuned-In Tonight to Watch Joe Biden’s Campaign…,['2020/08'],201 comments,https://www.thegatewaypundit.com/2020/08/grand-total-136-people-tuned-tonight-watch-joe-bidens-campaign-unveil-latino-agenda/,✦ Björn Free ✦,How do you say 136 in Español?,,14,?
26,Breitbart News Network,Breitbart News Network,[],945 comments,https://www.breitbart.com/?p=14114732&preview=true&preview_id=14114732,✦ Björn Free ✦,POLL: J. Biden Leads President Donald J. TRUMP by a gazillion!......and Hillary Clinton (only) lead Trump by 20-points!,nieve_elrey,17,?
27,Breitbart News Network,Trump: I Want $600 Unemployment Benefits to Continue,['2020/08/04'],1687 comments,https://www.breitbart.com/clips/2020/08/04/trump-i-want-600-unemployment-benefits-to-continue/,✦ Björn Free ✦,"THIS CONSERVATIVE WANTS TO STOP the MONEY PRINTING PRESS!.....ride now, PAY LATER with inflation, Bunkies!",,21,1
28,Breitbart News Network,Trump Campaign Encourages Supporters to Wear Masks: ‘We Have Nothing to Lose’,['2020/08/04'],4860 comments,https://www.breitbart.com/politics/2020/08/04/trump-campaign-encourages-supporters-to-wear-masks-we-have-nothing-to-lose/,✦ Björn Free ✦,1000000000000^ brother!Scientifically: Masks are like throwing RICE at a Tennis Net!,Solomon Says,13,1
29,Breitbart News Network,Democrat Donor Ed Buck Charged with Four Additional Felonies,['2020/08/04'],737 comments,https://www.breitbart.com/politics/2020/08/04/democrat-donor-ed-buck-charged-with-four-additional-felonies/,✦ Björn Free ✦,No Harm. No Foul. He's a lofty Democrat. NEXT!,,24,?
30,Breitbart News Network,"Trump: U.S. Will ‘Probably’ Have Between 4,000 and 5,000 Troops in Afghanistan b…",['2020/08/04'],17 comments,https://www.breitbart.com/clips/2020/08/04/trump-u-s-will-probably-have-between-4000-and-5000-troops-in-afghanistan-by-election-day/,✦ Björn Free ✦,.....I vote for zero-thousand troops.Napalm their poppy fields (the source of their funding),,17,?
31,Breitbart News Network,Joe Biden Leaves the Basement for Delaware Beach House Getaway,['2020/08/04'],1155 comments,https://www.breitbart.com/politics/2020/08/04/joe-biden-leaves-the-basement-for-delaware-beach-house-getaway/,✦ Björn Free ✦,....if anyone in America needs to take some R & R time......(sarcasm),,20,?
32,Breitbart News Network,WATCH: Herschel Walker Blasts Pro Sports Leagues for Supporting BLM: Are These t…,['2020/08/03'],1619 comments,https://www.breitbart.com/sports/2020/08/03/watch-herschel-walker-blasts-pro-sports-leagues-for-supporting-blm-are-these-the-people-youre-supporting-now/,✦ Björn Free ✦,"....give me a reason to support the NBA, NFL, MLB, or ANY pro-athlete!America has succumbed to marginally talented quarterbacks .......with a chip on their shoulder....these athletes seem to be either tyrannies,..... anti-American Marxists, or,  pro-China,......ALL are living off the American Capitalist system that they eschew.",,25,?
33,Breitbart News Network,Washington Football Team DC Jack Del Rio: ‘Not Afraid to Say I Love My Country’,['2020/08/03'],733 comments,https://www.breitbart.com/sports/2020/08/03/washington-football-team-dc-jack-del-rio-not-afraid-to-say-i-love-my-country/,✦ Björn Free ✦,FOOT BALLS of STEEL!,,11,?
34,Breitbart News Network,"Pence on Cuomo’s Criticisms: His ‘Poor Decisions’ Cost Lives, He’s Praised Trum…",['2020/08/03'],231 comments,https://www.breitbart.com/clips/2020/08/03/pence-on-cuomos-criticisms-his-poor-decisions-cost-lives-hes-praised-trump-in-the-past/,✦ Björn Free ✦,"WHERE are the limp-wristed GOP?.....much less the GOP namby-pamby, indecisive  ""Leaders"".",,37,?
35,Breitbart News Network,Charles Hurt: Nadler Calls Riots ‘Myth’ — Then Blames Them on Trump and Barr,['2020/08/03'],3426 comments,https://www.breitbart.com/politics/2020/08/03/charles-hurt-nadler-calls-riots-myth-blames-them-on-trump-barr/,✦ Björn Free ✦,Like the Democrat Myth attracted to the FLAMES.....FLAMES in Portland......FLAMES in Seattle.......FLAMES in Minneapolis........FLAMES in Washington D.C.......,,10,?
36,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,....thank you friend. Same.,J.Moore citizenfreepress.com,7,1
37,Breitbart News Network,Massachusetts Court Bans Term ‘Grandfathering’ Due to Racist Past,['2020/08/03'],448 comments,https://www.breitbart.com/politics/2020/08/03/massachusetts-court-bans-term-grandfathering-due-to-racist-past/,✦ Björn Free ✦,ROMNEY's Massachusetts also gave America Obomey-Care,,8,?
38,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,"Yes, but you are vivacious and full of vigor, my friend.......they once said full of vinegar.",Jason Evans,7,1
39,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,I resemble that! ~ Laurel & Hardy 1928 (my parent's time),Jason Evans,9,1
40,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,NO!,J.Moore citizenfreepress.com,7,1
41,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,My mistake and I DO humbly apologize.,Jason Evans,9,1
42,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,I voted you and your TAG-TEAM friend down because you bump your own comment. THEN others must do the same to keep the queue FAIR to me and others..I don't watch TV.,Jason Evans,9,3
43,Breitbart News Network,"Sean Hannity: Joe Biden Keeps Moving Left, Unlike Previous Democrat Nominees",['2020/08/03'],298 comments,https://www.breitbart.com/radio/2020/08/03/sean-hannity-joe-biden-keeps-moving-left-unlike-previous-democrat-nominees/,✦ Björn Free ✦,~Joe Biden Keeps Moving SOUTH through his basement floor slats.....,,10,2
44,The Gateway Pundit,Cuban Restaurant Vandalized After Owner Called Out Louisville Black Lives Matter f…,['2020/08'],228 comments,https://www.thegatewaypundit.com/2020/08/cuban-restaurant-vandalized-owner-called-louisville-black-lives-matter-using-mafia-tactics-shake-businesses/,✦ Björn Free ✦,"You said, ""Government is very slow."".....as in Joe Biden???",Our Bloody Mary Hospital,6,?
45,The Gateway Pundit,Cuban Restaurant Vandalized After Owner Called Out Louisville Black Lives Matter f…,['2020/08'],228 comments,https://www.thegatewaypundit.com/2020/08/cuban-restaurant-vandalized-owner-called-louisville-black-lives-matter-using-mafia-tactics-shake-businesses/,✦ Björn Free ✦,"....this Trump-supporting senior citizen widow........cannot even wear a MAGA hat, without fear of being beaten up!",,11,?
46,The Gateway Pundit,Cuban Restaurant Vandalized After Owner Called Out Louisville Black Lives Matter f…,['2020/08'],228 comments,https://www.thegatewaypundit.com/2020/08/cuban-restaurant-vandalized-owner-called-louisville-black-lives-matter-using-mafia-tactics-shake-businesses/,✦ Björn Free ✦,Where is AG Barr?.....this Trump-Supporter intimidation MUST STOP!,,14,?
47,Breitbart News Network,NBC’s Todd: Trump’s ‘Un-American’ Election Delay Suggestion Exposes His ‘D…,['2020/08/02'],942 comments,https://www.breitbart.com/clips/2020/08/02/nbcs-todd-trumps-un-american-election-delay-suggestion-exposes-his-desperation/,✦ Björn Free ✦,NO ONE DELAYED THE 2020 ELECTION.....fool.President Donald J. Trump played you as artfully as a Stradivarius!.edit: In a fair election Donald J. Magnimous Wins in a LANDSLIDE!,,17,?
48,The Gateway Pundit,UNREAL: Obama Roommate and Former Senior Advisor Valerie Jarrett Would Not…,['2020/08'],391 comments,https://www.thegatewaypundit.com/2020/08/unreal-obama-roommate-former-senior-advisor-valerie-jarrett-not-answer-whether-president-obama-knew-trump-spying/,✦ Björn Free ✦,Of Course Obama had his skinny BEHIND in the Russian Collusion LIE!,,18,?
49,Breitbart News Network,Exclusive – Election Interference: McCarthy Warns Google Using ‘Tremendous Amou…,['2020/08/02'],1729 comments,https://www.breitbart.com/politics/2020/08/02/exclusive-election-interference-mccarthy-warns-google-using-tremendous-amount-of-power-to-influence-what-people-think-or-see/,✦ Björn Free ✦,SO PROVE to us that you ain't Paul RYNO II !!!,,9,?
50,Breitbart News Network,Metta World Peace Says ‘Ain’t No Way’ He would Kneel During National Anthem,['2020/08/02'],84 comments,https://www.breitbart.com/sports/2020/08/02/metta-world-peace-says-aint-no-way-he-would-kneel-during-national-anthem/,✦ Björn Free ✦,"""Former NBA great, Metta World Peace""???WHO? With a name like that, I think I would have remembered him.",hey gee,5,?
51,The Gateway Pundit,"“F*ck Trump!” – Antifa Terrorists Burn Bibles, American Flags in Front of Federa…",['2020/08'],222 comments,https://www.thegatewaypundit.com/2020/08/fck-trump-antifa-terrorists-burn-bibles-american-flags-front-federal-courthouse-portland-video/,✦ Björn Free ✦,Yes. I am reminded of Paul's letter of the Romans chapter One.,Whitehorse,9,?
52,The Gateway Pundit,"“F*ck Trump!” – Antifa Terrorists Burn Bibles, American Flags in Front of Federa…",['2020/08'],222 comments,https://www.thegatewaypundit.com/2020/08/fck-trump-antifa-terrorists-burn-bibles-american-flags-front-federal-courthouse-portland-video/,✦ Björn Free ✦,"John, ....this IS Satan in his last days.~ It Is Written.",John Truman,34,?
53,The Gateway Pundit,"“F*ck Trump!” – Antifa Terrorists Burn Bibles, American Flags in Front of Federa…",['2020/08'],222 comments,https://www.thegatewaypundit.com/2020/08/fck-trump-antifa-terrorists-burn-bibles-american-flags-front-federal-courthouse-portland-video/,✦ Björn Free ✦,GOD's People Are Known by Their Enemies!,,17,?
54,Breitbart News Network,Firm Owned by Joe Biden’s Son-in-Law Benefited from Upwards of $350K in PPP…,['2020/08/01'],529 comments,https://www.breitbart.com/2020-election/2020/08/01/bidens-son-in-law-benefited-upwards-350k-in-ppp-loans/,✦ Björn Free ✦,....who would have GUESSED?.Life is full of crazy surprises.,,15,?
55,Breitbart News Network,Firm Owned by Joe Biden’s Son-in-Law Benefited from Upwards of $350K in PPP…,['2020/08/01'],529 comments,https://www.breitbart.com/2020-election/2020/08/01/bidens-son-in-law-benefited-upwards-350k-in-ppp-loans/,✦ Björn Free ✦,Imagine Dat!....WHO gnu?,,73,?
56,The Gateway Pundit,$100 Fine: Gatherings of More Than Three People on Sidewalks Banned in DC Subu…,['2020/08/10'],200 comments,https://www.thegatewaypundit.com/2020/08/100-fine-gatherings-three-people-sidewalks-banned-dc-suburb-arlington-county-va-coronavirus-concerns/,✦ Björn Free ✦,"RIOTERS, LOOTERS, THUGS & BLACK MARXIST FUNERAL-GOERS...........get a free-pass.",,20,?
57,Breitbart News Network,Border Patrol Chief: Agents in Portland Faced ‘Direct and Immediate Threat of B…,['2020/08/01'],974 comments,https://www.breitbart.com/clips/2020/08/01/border-patrol-chief-agents-in-portland-faced-direct-and-immediate-threat-of-being-burnt-alive-for-two-months/,✦ Björn Free ✦,"Leslie Nielsen: ""Nothing to See Here!""~The Naked Gun! 1988",,18,?
58,Breitbart News Network,Poll: 9 of 10 Americans Wearing Masks in Public,['2020/08/01'],4048 comments,https://www.breitbart.com/health/2020/08/01/poll-9-10-americans-wearing-masks-public/,✦ Björn Free ✦,....it reminds us who OWNS us & CONTROLS us! :(,,11,?
59,Breitbart News Network,"Atlanta Reverend Inserts John Lewis in Isaiah 53: ‘By His Stripes, We Are Healed’",['2020/07/31'],98 comments,https://www.breitbart.com/faith/2020/07/31/atlanta-reverend-inserts-john-lewis-in-isaiah-53-by-his-stripes-we-are-healed/,✦ Björn Free ✦,"Psalm 14:1  The fool says in his heart,""there is no God.""",Ann Nonomust,10,?
60,Breitbart News Network,"Atlanta Reverend Inserts John Lewis in Isaiah 53: ‘By His Stripes, We Are Healed’",['2020/07/31'],98 comments,https://www.breitbart.com/faith/2020/07/31/atlanta-reverend-inserts-john-lewis-in-isaiah-53-by-his-stripes-we-are-healed/,✦ Björn Free ✦,"....may the LORD of the Bible deal with you, sir.",,30,?
61,Breitbart News Network,"Breitbart News Appeals Twitter Account Suspension, ‘Review’ Drags Out Beyond…",['2020/07/30'],2962 comments,https://www.breitbart.com/tech/2020/07/30/breitbart-news-appeals-twitter-account-suspension-review-drags-out-beyond-48-hours/,✦ Björn Free ✦,FIND ANOTHER OUTLET!!!!...Invent your own venue.....don't be a prisoner!,,19,2
62,Breitbart News Network,Montana Sheriff: Steve Bullock with ‘Liberal Mob’ on Defunding Police,['2020/07/30'],255 comments,https://www.breitbart.com/politics/2020/07/30/montana-sheriff-steve-bullock-liberal-mob-defunding-police/,✦ Björn Free ✦,WHY? Do Democrats Want to Abolish LEO's? (Law Enforcement Officers).....because Democrats are defiant and they defy the LAW!,,16,?
63,Breitbart News Network,Hollywood Hammers Trump for Floating Delaying the Election: ‘Dictators Do This’,['2020/07/30'],1088 comments,https://www.breitbart.com/entertainment/2020/07/30/hollywood-hammers-trump-for-floating-delaying-the-election-dictators-do-this/,✦ Björn Free ✦,TRUMP PLAYS HOLLYWOOD!,,20,?
64,The Gateway Pundit,"​In Uncertain Times, How To Put Gold And Silver Into A Tax-Advantaged Account",['2020/07'],16 comments,https://www.thegatewaypundit.com/2020/07/put-gold-silver/,✦ Björn Free ✦,Diversification. Use a reputable fiduciary CFP.  (Certified Financial Planner.)....this advertisement is not fiduciary and could cause you harm._________________________________________edit: THIS is precisely why I elect to block ads from Gateway Pundit.Gateway's ads do not serve THIS reader. They are CLUTTER.....and making such publicly known is why Gateway Pundit blocks ME!,,9,1
65,Breitbart News Network,Change Research Poll: Trump Narrows the Gap in Battleground States,['2020/07/29'],869 comments,https://www.breitbart.com/2020-election/2020/07/29/change-research-poll-trump-narrows-gap-battleground-states/,✦ Björn Free ✦,2016 Poll:  Trump Loses in a Landslide to Hillary!!!,,19,?
66,Breitbart News Network,California Sues Trump to Inflate Its Power in Congress via Illegal Migration,['2020/07/29'],808 comments,https://www.breitbart.com/politics/2020/07/29/california-sues-trump-to-inflate-its-power-in-congress-via-illegal-migration/,✦ Björn Free ✦,"DEMOCRATS only WIN when they cheat, .......& subvert the LAW.............or, circumvent the U.S. Constitution.",,24,?
67,Breitbart News Network,"Trump’s DACA Extension Buys Time for Him, Immigration Reformers Say",['2020/07/29'],13 comments,https://www.breitbart.com/politics/2020/07/29/trumps-daca-extension-buys-time-for-him-immigration-reformers-say/,✦ Björn Free ✦,"DACA is CACA.Words once meant things..ILLEGAL once meant illegal..As recently as 2016 MAGA meant .....""Make America Great Again!",,22,?
68,Breitbart News Network,"Trump: Fox News ‘Not Even Watchable,’ Unrecognizable from 4 Years Ago",['2020/07/29'],2488 comments,https://www.breitbart.com/politics/2020/07/29/trump-fox-news-not-even-watchable-unrecognizable-from-4-years-ago/,✦ Björn Free ✦,FOX has become a pox on Conservativism.Hannity is SO tedious and repetitious. Ingraham (whom I met) is nasty.gawd help us.,,16,2
69,Breitbart News Network,Watch: House Minority Leader McCarthy Accidentally Calls Rep. Gohmert ‘Congre…,['2020/07/29'],318 comments,https://www.breitbart.com/clips/2020/07/29/watch-house-minority-leader-mccarthy-accidentally-calls-rep-gohmert-congressman-covid/,✦ Björn Free ✦,"McCarthy is another ambitious calculating RINO......he's too oily, slithering & slick to make mistakes.",,67,?
70,Breitbart News Network,Matt Gaetz: Google Using ‘Market Dominance’ in Search to Engage in ‘Elect…,['2020/07/29'],3133 comments,https://www.breitbart.com/politics/2020/07/29/matt-gaetz-google-using-market-dominance-in-search-to-engage-in-election-interference/,✦ Björn Free ✦,BUST GOOGLE!dammit!,,22,?
71,Breitbart News Network,Jim Jordan Cites Censorship of Breitbart News as One Reason Big Tech ‘Is Out to G…,['2020/07/29'],763 comments,https://www.breitbart.com/politics/2020/07/29/jim-jordan-big-tech-is-out-to-get-conservatives/,✦ Björn Free ✦,HEY! BREITBART!.I must bump my own posts (at first) to get a fair shake on your roster's queue.. Kettle calling the Pot BLACK??,,12,1
72,The Gateway Pundit,Jim Jordan Asks Google if They Are Actively Helping Joe Biden Win the Electi…,['2020/07'],238 comments,https://www.thegatewaypundit.com/2020/07/jim-jordan-asks-google-actively-helping-joe-biden-win-election-google-ceo-sundar-pichai-doesnt-say-no-video/,✦ Björn Free ✦,ALL:Kabuki Theatre! Kabuki Theatre!Kabuki Theatre!......for the masses.,,14,?
73,Breitbart News Network,Michigan Bed and Breakfast Removes Norwegian Flag After Confusion with Co…,['2020/07/29'],63 comments,https://www.breitbart.com/politics/2020/07/29/michigan-bed-and-breakfast-removes-norwegian-flag-after-confusion-with-confederate-flag/,✦ Björn Free ✦,America is ceding our LIBERTY to the ANGRY & Ignorant LEFT!.GOP Congress.......crickets!,,22,?
74,Breitbart News Network,"Tim Cook Claims Apple Treats ‘Every Developer the Same,’ but Has Banned Co…",['2020/07/29'],399 comments,https://www.breitbart.com/tech/2020/07/29/tim-cook-claims-apple-treats-every-developer-the-same-but-has-banned-conservative-apps/,✦ Björn Free ✦,"Apple's Tim Cook:.....Great Analogy to The Original Tech Sin!. ""Don't bite the Apple""",,11,?
75,Breitbart News Network,Dr. Kelli Ward: ‘Sickening’ that Big Tech Is Trying to ‘Tip the Scales of the 2020 Elec…,['2020/07/29'],35 comments,https://www.breitbart.com/politics/2020/07/29/dr-kelli-ward-it-is-sickening-that-big-tech-is-partnering-democrats-tip-scales-2020-election/,✦ Björn Free ✦,The Left are a Medusa's Head of catatonic hatred.,,20,?
76,Breitbart News Network,Tisha B’Av: Jewish Holiday Mourns National Destruction,['2020/07/29'],9 comments,https://www.breitbart.com/faith/2020/07/29/tisha-bav-jewish-holiday-mourns-national-destruction/,✦ Björn Free ✦,Genesis 12:3amen.,,7,?
