,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Hate?,Flag??,Responding to,Upvotes,Downvotes
10,American Renaissance,"‘If We Lose, We Burn the Place Down’",['2020/09'],137 comments,https://www.amren.com/blog/2020/09/if-we-lose-we-burn-the-place-down/,HT,And some wonder why ammo is so expensive and difficult to find now?,0,,,6,?
11,American Renaissance,"50 People Shot, 15 Fatally, in Baltimore in a Week",['2020/09/50'],53 comments,https://www.amren.com/news/2020/09/50-people-shot-15-fatally-in-baltimore-in-a-week/,HT,"I don't shed a tear for them but I am sick of what they are doing to more and more cities that they are destroying.  It is sad we don't have the will as whites to use whatever force is necessary to put a stop to this insanity and take back our cities and country.  And to think what our government did to whites who simply opposed school integration and they do nothing to fix this,",1,,,5,?
12,American Renaissance,The Logic Of Bell Curve Leftism,['2020/09'],57 comments,https://www.amren.com/news/2020/09/the-logic-of-bell-curve-leftism/,HT,"It is called free market and supply and demand.  It has generated the most wealth and highest standard of living.  If you aren't happy with your income level you have the freedom to try something else in the way of work.  Most whites will excel in that system provided we don't destroy it with immigration and special rights for blacks.  Sure, nothing is perfect but any system where the government decides your income is usually a disaster.",2,?,HamburgerToday2019,1,?
13,American Renaissance,The Logic Of Bell Curve Leftism,['2020/09'],57 comments,https://www.amren.com/news/2020/09/the-logic-of-bell-curve-leftism/,HT,Relocating blacks to a new country?,2,?,Mark Miller,2,?
14,American Renaissance,The Logic Of Bell Curve Leftism,['2020/09'],57 comments,https://www.amren.com/news/2020/09/the-logic-of-bell-curve-leftism/,HT,"No.  Your concern is for liberal politicians.  You have no concern for small businesses, bars and restaurants that can't pay that and stay in business  You actually put people out of work when automation becomes cheaper than absurdly high salaries for menial labor.",2,,JohnEngelman,3,1
15,American Renaissance,The Logic Of Bell Curve Leftism,['2020/09'],57 comments,https://www.amren.com/news/2020/09/the-logic-of-bell-curve-leftism/,HT,"Yeah we get it.  You prefer big gubmint choosing winners and losers economically.  Work hard, risk your capital, and play by the rules and you get rewarded with high taxes.",0,,JohnEngelman,4,?
16,American Renaissance,The Logic Of Bell Curve Leftism,['2020/09'],57 comments,https://www.amren.com/news/2020/09/the-logic-of-bell-curve-leftism/,HT,So wealth should be distributed based on who you deem worthy.  Where have I heard all this before?.  You people have destroyed the work ethic and convinced many people that they can't advance economically through hard work and good moral behavior.  That is why the welfare state continues to expand and why more and more people refuse to make good life decisions that help them move up.  You have destroyed the system and then you blame someone else for it.,2,,JohnEngelman,8,?
17,American Renaissance,‘We Hope They Die!’,['2020/09'],111 comments,,HT,"We should begin with Joe Biden who said he would redirect budgeted police money to non-police areas. That�s right.

when he replied, �Yes, absolutely� to an interviewer who asked him,

""But do we agree that we can redirect some of the funding?�",0,,,,
18,American Renaissance,‘We Hope They Die!’,['2020/09'],111 comments,https://www.amren.com/news/2020/09/we-hope-they-die/,HT,Obama said Bush increasing the national debt was unpatriotic and then Hussein doubled it.,0,,JohnEngelman,8,?
19,American Renaissance,‘We Hope They Die!’,['2020/09'],111 comments,https://www.amren.com/news/2020/09/we-hope-they-die/,HT,Biden can refute all he wants but I remember when he was asked the question and said we should defund the police. All you are showing now is the media's willingness to protect him from his own lies.  Robin Roberts wouldn't ask Uncle Joe a serious question if her life depended on it.,2,,JohnEngelman,7,?
20,American Renaissance,‘We Hope They Die!’,['2020/09'],111 comments,https://www.amren.com/news/2020/09/we-hope-they-die/,HT,Uncle Joe says whatever his handlers and the focus groups tell him to say.  He has no original thoughts.,2,,Fed Up,8,?
21,American Renaissance,‘We Hope They Die!’,['2020/09'],111 comments,https://www.amren.com/news/2020/09/we-hope-they-die/,HT,"Meanwhile your Uncle Joe supports defunding the police in full support of the cop killer activist group, BLM.",2,?,JohnEngelman,6,?
22,American Renaissance,‘We Hope They Die!’,['2020/09'],111 comments,https://www.amren.com/news/2020/09/we-hope-they-die/,HT,"In a shooting you take the victims to the best trauma ER, usually one that handles a lot of shootings and stabbings.  Not every hospital is capable of dealing with serious gun shot injuries.  What should have happened is police should removed those hospital protesters with as much violence as possible.",1,,Joe Dixon,10,?
23,The Daily Wire,New Orleans Saints Pledge ‘Not To Stick To Sports’ This Season In Social Justice Ca…,[],640 comments,https://www.dailywire.com/news/new-orleans-saints-pledge-not-to-stick-to-sports-this-season-in-social-justice-campaign,HT,Good then we can start a new pro football league dominated by whites who actually appreciate the game and the fans.,2,,Rob Harris,1,?
24,The Daily Wire,New Orleans Saints Pledge ‘Not To Stick To Sports’ This Season In Social Justice Ca…,[],640 comments,https://www.dailywire.com/news/new-orleans-saints-pledge-not-to-stick-to-sports-this-season-in-social-justice-campaign,HT,My people built civilization and this country.,2,,Trump2020pollsarefake,0,0
25,The Daily Wire,New Orleans Saints Pledge ‘Not To Stick To Sports’ This Season In Social Justice Ca…,[],640 comments,https://www.dailywire.com/news/new-orleans-saints-pledge-not-to-stick-to-sports-this-season-in-social-justice-campaign,HT,Then you are just dishonest because it was 100% true.  Name one thing blacks have contributed to America and our civilization.,1,,Trump2020pollsarefake,0,0
26,The Daily Wire,New Orleans Saints Pledge ‘Not To Stick To Sports’ This Season In Social Justice Ca…,[],640 comments,https://www.dailywire.com/news/new-orleans-saints-pledge-not-to-stick-to-sports-this-season-in-social-justice-campaign,HT,Slavery was the lesser of two evils compared to turning America into a multiracial sewer.,1,?,"Enjoy yourself, it's late",0,0
27,The Daily Wire,New Orleans Saints Pledge ‘Not To Stick To Sports’ This Season In Social Justice Ca…,[],640 comments,https://www.dailywire.com/news/new-orleans-saints-pledge-not-to-stick-to-sports-this-season-in-social-justice-campaign,HT,Was my comment true?,0,,Trump2020pollsarefake,0,0
28,The Daily Wire,New Orleans Saints Pledge ‘Not To Stick To Sports’ This Season In Social Justice Ca…,[],640 comments,https://www.dailywire.com/news/new-orleans-saints-pledge-not-to-stick-to-sports-this-season-in-social-justice-campaign,HT,"Racism?  You mean race reality, sport.",2,,Trump2020pollsarefake,1,?
29,The Daily Wire,New Orleans Saints Pledge ‘Not To Stick To Sports’ This Season In Social Justice Ca…,[],640 comments,https://www.dailywire.com/news/new-orleans-saints-pledge-not-to-stick-to-sports-this-season-in-social-justice-campaign,HT,"Blacks destroy everything they come into contact with.  Our cities, education, and now they will destroy sports.  I am embarrassed for my country that allowed this to happen.",1,,,0,0
30,American Renaissance,"Protests Erupt in Lancaster, Pennsylvania as Police Fatally Shoot Knife-Wielding M…",['2020/09'],171 comments,https://www.amren.com/news/2020/09/protests-erupt-in-lancaster-pennsylvania-as-police-fatally-shoot-knife-wielding-man-after-he-rushes-at-officer/,HT,You didn't miss a thing.,0,,DonReynolds,10,?
31,American Renaissance,"Protests Erupt in Lancaster, Pennsylvania as Police Fatally Shoot Knife-Wielding M…",['2020/09'],171 comments,https://www.amren.com/news/2020/09/protests-erupt-in-lancaster-pennsylvania-as-police-fatally-shoot-knife-wielding-man-after-he-rushes-at-officer/,HT,BLM and their media accomplices want to push their narrative and the norm to where any self defense by police or anyone else against violent blacks is off limits.  Self defense against the Negro is systemic racism.,1,,DonReynolds,5,?
32,American Renaissance,"Protests Erupt in Lancaster, Pennsylvania as Police Fatally Shoot Knife-Wielding M…",['2020/09'],171 comments,https://www.amren.com/news/2020/09/protests-erupt-in-lancaster-pennsylvania-as-police-fatally-shoot-knife-wielding-man-after-he-rushes-at-officer/,HT,No problem.  Once we elect Joe Biden everything will be great.  I read it on AmRen.,0,,,10,?
33,The Gateway Pundit,"Lynwood, California City Manager Jose Ometeotl Posts ""Chickens Come Home t…",['2020/09'],288 comments,https://www.thegatewaypundit.com/2020/09/lynwood-california-city-manager-jose-ometeotl-posts-chickens-come-home-roost-2-young-deputies-shot-head-ambush-attack/,HT,Naive people are finally starting to see what a disaster it was turning America into a multi-race country.,1,,,3,?
34,The Gateway Pundit,"PURE EVIL: Bystanders Laugh, Mock Deputies including 31-Year-Old Mother A…",['2020/09'],985 comments,https://www.thegatewaypundit.com/2020/09/pure-evil-bystanders-laugh-mock-deputies-including-31-year-old-mother-ambushed-shot-head-no-one-runs-help/,HT,"Maybe at some point, more conservatives will finally begin to understand this savagery and become race realists instead of believing they can turn blacks into clear thinking conservatives.",1,,,1,?
35,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,"Yes they do allow rebuttals subject to potential censorship which apparently some have experienced, but the articles they publish represent the site and their views.  They should no more allow an endorsement for Joe Biden than an endorsement for white slavery.  Someone young and coming here to learn about white advocacy could see the article supporting Biden and think that it is possible to vote Democrat and still be a white advocate and race realist.  Like I said, they can run the site as they wish but my confidence is not what it was and there is no good reason to allow this.  I have endorsed this site and referred it to colleagues who were not aware of it.  I now question whether that is rational or not.",2,?,ky_native,1,?
36,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,The fact that he would vote for Joe Biden or any Democrat should completely disqualify him.  The Democrats and BLM are joined at the hip and yet someone claiming to be an advocate for whites votes for them?  Someone like that should not represent this site.  This is the kind of thinking that caused South Africa to fold.,2,,Rich at Large,1,?
37,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,I can't buy into that considering how they cater to him most of the time.,0,,Missy,2,1
38,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,Someone ask John if he also supports Pelosi and Schumer taking over the Congress.  I assume he does.  I am still coming to grips with my favorite site allowing this anti-white article to be published.  My confidence in AmRen is shaken.,0,,,5,?
39,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,Seems like his vote counts in California where he and the rest of the idiots will strongly support Biden.,2,,MikeofAges,0,0
40,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,All of his charts are dishonest.,2,,LHathaway,1,?
41,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,I think Trump has welcomed Democrats into the GOP that support labor.  That is how he won several key states.  I also don't believe we need more dishonest articles with dishonest graphs and data like JE presented.  I have debunked his graphs on here but Amren still allowed him to present them again.  My disappointment is with AmRen because I know what JE is.,2,,James Cash,0,0
42,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,Race is economics as we see in every black crap hole in the world.,1,,SpadeCaller,2,?
43,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,My concern here is AmRen giving a voice to this quack.,2,,Samuel Hathaway,2,1
44,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,Especially one named Mao.,0,,rls976,1,?
45,American Renaissance,Why I Am (Reluctantly) Voting For Trump,['2020/09'],246 comments,https://www.amren.com/blog/2020/09/why-i-am-reluctantly-voting-for-trump/,HT,You have posted them before and I have explained why they are just propaganda tools.,0,,JohnEngelman,1,?
46,American Renaissance,Why I Am (Reluctantly) Voting For Trump,['2020/09'],246 comments,https://www.amren.com/blog/2020/09/why-i-am-reluctantly-voting-for-trump/,HT,Your graphs have been debunked here before.  They are dishonest and lack any context and do not prove what you claim they do.  The one above is taken out of context and you know it.  AmRem has damaged their reputation by publishing this.,2,,JohnEngelman,1,1
47,American Renaissance,Why I Am (Reluctantly) Voting For Trump,['2020/09'],246 comments,https://www.amren.com/blog/2020/09/why-i-am-reluctantly-voting-for-trump/,HT,More lies and dishonest illustrations by John.  He is embarrassing himself now.,2,,JohnEngelman,7,?
48,American Renaissance,Why I Am (Reluctantly) Voting For Trump,['2020/09'],246 comments,https://www.amren.com/blog/2020/09/why-i-am-reluctantly-voting-for-trump/,HT,"What is going on with AmRen?  One article about ""reluctantly voting for Trump"" and one article with an enthusiastic endorsement of the anti-white socialist puppet, Biden.",2,,,3,?
49,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,Now I have to wonder if AmRen isn't a government run site designed to lure people like us to be rounded up later.,0,,,3,?
50,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,I honestly don't want any more of his explanations.  Everything he says is dishonest and based on media propaganda.,2,,DarienX,7,?
51,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,I am not nearly as worried about that as the people on this site who allow him to be influential here.  Horrible judgment by someone.,0,,Son of the 1st Revolution,2,?
52,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,Boom!,0,,Beach Dog,0,0
53,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,The Democrat Party is an anti-white party now.  Any support of them directly opposes the white race.,2,,James Cash,2,?
54,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,Maybe that is why they are making the move early to support Biden hoping to avoid the purge.,0,,Phil,0,0
55,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,Now I am wondering why I am boycotting the NFL over BLM when AmRen is promoting Joe Biden who will just be a puppet for BLM.,2,,,2,?
56,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,That doesn't mean it should be published.,0,,CMK,5,?
57,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,Yeah he thinks government programs create wealth.,0,,Dean 👌 Buvia,6,?
58,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,"Yeah, because socialism is such a wonderful way to produce and distribute food.  You seriously believe people can't feed their families here?  I hate to break the news to you but people living on government food stamps are the most overweight category of people in the country.  We have more food than we can eat because of capitalism.  Ask the people in Venezuela how they like socialism.",2,,Asmodeous Rex,9,?
59,The Gateway Pundit,"Lancaster, PA: Black Lives Matter Crowd Forming Following Officer-Involved Sho…",['2020/09'],403 comments,https://www.thegatewaypundit.com/2020/09/lancaster-pa-black-lives-matter-crowd-forming-following-officer-involved-shooting-video/,HT,Another black role model created today.  Wonder how many felonies this one has been convicted of?,1,?,,2,?
60,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,"Allowing these phony and misleading graphs, which John has previously posted on here and which have been debunked, is another travesty.  What is next?  Publishing an article telling us how great things are in South Africa or allowing someone to tell us that Black Lives Matter really is a civil rights organization?  If I wanted to read this this dishonest swill, I would go to Slate or Huff Post.",2,?,,4,1
61,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,"It is their site and they can do as they please, but it is a direct slap in the face to all of us who faithfully contribute to the site each day.  I don't get it.",0,,Mitch,5,1
62,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,I am stunned that Amren would publish this anti-white foolishness.,2,,,9,1
63,The Gateway Pundit,After Two LA Deputies Are Ambushed and Shot in the Head -- Entire Washington Fo…,['2020/09'],477 comments,https://www.thegatewaypundit.com/2020/09/two-la-deputies-ambushed-shot-head-entire-washington-football-team-kneels-together-police-blm/,HT,"It only took Obama, hate activists, and the media a decade to turn the police into the bad guys and criminals like Trayvon Martin, Michael Brown, George Floyd, and Breonna Taylor into saints and the pillars of society.  Now cops have targets on their backs and aren't even allowed to use reasonable force to defend themselves against rioters.   Meanwhile corporate America donates tens of millions of dollars to organizations dedicated to murdering cops. Never thought I would live to see the country get to this point.",1,?,,4,?
64,The Gateway Pundit,After Two LA Deputies Are Ambushed and Shot in the Head -- Entire Washington Fo…,['2020/09'],477 comments,https://www.thegatewaypundit.com/2020/09/two-la-deputies-ambushed-shot-head-entire-washington-football-team-kneels-together-police-blm/,HT,"If they didn't hate the country so much, they would not fall so easily for the media lies.",2,?,So you say,4,?
65,The Gateway Pundit,After Two LA Deputies Are Ambushed and Shot in the Head -- Entire Washington Fo…,['2020/09'],477 comments,https://www.thegatewaypundit.com/2020/09/two-la-deputies-ambushed-shot-head-entire-washington-football-team-kneels-together-police-blm/,HT,They are kneeling because blacks resent all forms of authority and want to be able to do whatever they want with no restraint.,1,,So you say,7,?
66,The Gateway Pundit,After Two LA Deputies Are Ambushed and Shot in the Head -- Entire Washington Fo…,['2020/09'],477 comments,https://www.thegatewaypundit.com/2020/09/two-la-deputies-ambushed-shot-head-entire-washington-football-team-kneels-together-police-blm/,HT,Keep telling yourselves that blacks don't really hate you and and Western culture and that all this hatred is just due to liberal policies and police brutality.,1,?,,5,?
67,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,Try caps lock.,0,,xyeke,0,0
68,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,The Left and their black pets constantly disobey the law and nothing is done to stop it.,1,,xyeke,3,?
69,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,"Until we are willing to admit the real problem, it will continue to get worse.",0,,xyeke,2,?
70,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,Don't you get sick of his narrative each day blaming everyone but the black terrorists for the violence in our cities?,1,,xyeke,2,?
71,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,You actually think I am a Democrat?  LOL,0,,xyeke,2,?
72,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,Don't expect Bill Barr or the FBI to look into that.  They still think the real terror threat to America is white supremacists planting nooses.,0,,stonerator,0,0
73,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,"While our military gladly stepped in, in 1957 in Little Rock, to potentially kill hundreds of law abiding white citizens wanting to save their schools, they would never support restoring law and order and opposing the sacred BLM.",2,?,Spirit1776,0,0
74,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,"As Hannity would say, part of our ""American family"".",0,,disrespekt,0,0
75,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,"I'm sure LaShawn Hannity will be crying his eyes out tomorrow lamenting how another young black life, our ""American family"", was destroyed.",0,?,,2,?
76,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,So I guess Walmart and the NFL will announce a partnership to fund more programs for BLM to help black yut in Compton.,2,?,,3,?
77,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,It was a great area when it was 90% white.,0,?,Connie Bruner,1,?
78,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,Funny how that works the same way all over the world but no one will acknowledge it.  They just need better schools and jobs.  What a joke.,0,,THE WAY,1,?
79,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,"More likely Jared Kosher will be proposing more laws, ""prison reform"", to turn blacks loose from prison.",0,?,Ledfether,0,0
80,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,And serve 5 years in juvie detention and then released on society.,0,,David,1,?
81,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,And the rest of corporate America that gives black hate groups hundreds of millions of dollars.,2,?,Burt Bronson,4,?
82,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,That the mainstream conservative media spin.  Even they protect the sacred blacks.,2,?,Joe’s Memory,0,0
83,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,HT,Let's see.  BLM inspires and endorses police assassinations and even follows shot officers to the ER to block the entrance?  Meanwhile Bill Barr sits on his fat butt and refuses to call BLM a terror group.,1,,,4,?
84,The Gateway Pundit,GOP Lawmakers Call on DOJ to Take Legal Action Against Netflix for Sexualizing Chi…,['2020/09'],357 comments,https://www.thegatewaypundit.com/2020/09/gop-lawmakers-call-doj-take-legal-action-netflix-sexualizing-children-release-film-cuties/,HT,"Just more of Obama destroying ""evil"" white Western civilization.",2,,TexanBorn51,1,?
85,The Gateway Pundit,GOP Lawmakers Call on DOJ to Take Legal Action Against Netflix for Sexualizing Chi…,['2020/09'],357 comments,https://www.thegatewaypundit.com/2020/09/gop-lawmakers-call-doj-take-legal-action-netflix-sexualizing-children-release-film-cuties/,HT,In the ghettos you have black males as young as 12 years old creating babies so none of this should surprise anyone.,2,?,sirname,0,0
86,The Gateway Pundit,GOP Lawmakers Call on DOJ to Take Legal Action Against Netflix for Sexualizing Chi…,['2020/09'],357 comments,https://www.thegatewaypundit.com/2020/09/gop-lawmakers-call-doj-take-legal-action-netflix-sexualizing-children-release-film-cuties/,HT,Black culture ...,0,,daniel wright,0,0
87,The Gateway Pundit,GOP Lawmakers Call on DOJ to Take Legal Action Against Netflix for Sexualizing Chi…,['2020/09'],357 comments,https://www.thegatewaypundit.com/2020/09/gop-lawmakers-call-doj-take-legal-action-netflix-sexualizing-children-release-film-cuties/,HT,It is actually how our white Western civilization gets further destroyed as we embrace mainstream black culture.,1,?,Jasper Jake,0,0
88,The Gateway Pundit,GOP Lawmakers Call on DOJ to Take Legal Action Against Netflix for Sexualizing Chi…,['2020/09'],357 comments,https://www.thegatewaypundit.com/2020/09/gop-lawmakers-call-doj-take-legal-action-netflix-sexualizing-children-release-film-cuties/,HT,Black culture at its finest that the elites gladly embrace to make a buck and further destroy our society.,2,,,0,0
