,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Hate?,Flag??,Responding to,Upvotes,Downvotes,Ordinary/Hate/Offensive,
18,Townhall,"ICYMI: During Kenosha Pit Stop, Biden Rewrote History Regarding the Lightbulb to Pander to Black Voters",['2020/09/07'],286 comments,https://townhall.com/tipsheet/mattvespa/2020/09/07/bidens-kenosha-train-wreck-hey-some-black-guy-actually-invented-the-lightbulb-not-thomas-edison-n2575645,"MAGADeplorable, too","Who doesn't love those joey b' campaign ads where he is sold to the terminally stupid as the answer manHe will restore the economy.    Just like he did during those summers of recoveries he was in charge ofHe will solve the wuhan virus.   Just like he did when he argued there should be no ban on travelers from chicom landHe  will strengthen small businesses.   Just like he did when his antifa and blm terrorist army did when they vandalized, looted and torched thousands of small businesses",2,,,1,?,2,
19,Townhall,"ICYMI: During Kenosha Pit Stop, Biden Rewrote History Regarding the Lightbulb to Pander to Black Voters",['2020/09/07'],286 comments,https://townhall.com/tipsheet/mattvespa/2020/09/07/bidens-kenosha-train-wreck-hey-some-black-guy-actually-invented-the-lightbulb-not-thomas-edison-n2575645,"MAGADeplorable, too",Joey B is the candidate of the mentally challenged and those ignorant of history,2,,,1,?,2,
20,Hot Air,"Rochester, New York is now trying to turn into Portland",['2020/09/07'],128 comments,https://hotair.com/archives/jazz-shaw/2020/09/07/rochester-new-york-now-trying-turn-portland/,"MAGADeplorable, too",To date the blm silverbacks have only destroyedAnd have never rebuilt,2,,,0,0,2,
21,Hot Air,"Rochester, New York is now trying to turn into Portland",['2020/09/07'],128 comments,https://hotair.com/archives/jazz-shaw/2020/09/07/rochester-new-york-now-trying-turn-portland/,"MAGADeplorable, too",Still wundering why these self hating woke whites are surrendering en masse to the ghetto losers who can't get off welfare and every time they are upset loot and vandalizeThe white man's burden get's heavier as working citizens are learning they will foot the bill for fixing what the ghetto slugs destroyed,1,,,1,?,1,
22,Townhall,Hillary: Trump is Running on Fear. Also Hillary: Our Democracy Won't Survive Four More Years of Trump,['2020/09/06'],572 comments,https://townhall.com/tipsheet/bronsonstocking/2020/09/06/hillary-trump-is-running-on-fear-also-hillary-our-democracy-wont-survive-four-n2575751,"MAGADeplorable, too",Those crazy eyes of the hag are the freeway into her deranged mind,2,,,3,?,2,
23,Townhall,San Francisco Mayor Goes to Bat for Pelosi: She Had a Really Good Reason to Violate the COVID Orders,['2020/09/06'],456 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/san-francisco-mayor-goes-to-bat-for-pelosi-she-had-a-really-good-reason-to-violate-the-covid-orders-n2575750,"MAGADeplorable, too",San Franscatsco deserves every bad thing that comes from electing America hating commies to rule over their city,2,,Randy G,7,?,2,
24,Hot Air,100 days of protests in Portland,['2020/09/10'],7 comments,https://hotair.com/headlines/archives/2020/09/100-days-protests-portland/,"MAGADeplorable, too","How many years will portlandistan show the scars of the riots allowed by the mayor, the da and the gov ?",2,,,0,0,2,
25,Townhall,"Oh, Look: Former Staffer for a Failed Dem Presidential Candidate Was Arrested for Rioting",['2020/09/06'],698 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/oh-look-former-staffer-for-a-failed-dem-presidential-candidate-was-arrested-for-rioting-n2575739,"MAGADeplorable, too","No doubt her parents voted for every commiecrat running for local, state and national officeVisible proof the wannabe terrorist never falls far from the marxist loving parents",2,,,1,?,2,
26,Townhall,"Oh, Look: Former Staffer for a Failed Dem Presidential Candidate Was Arrested for Rioting",['2020/09/06'],698 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/oh-look-former-staffer-for-a-failed-dem-presidential-candidate-was-arrested-for-rioting-n2575739,"MAGADeplorable, too",This privileged brat points out that the supposed oppressed aren't the only terroristsBut this twit loses her terrorism credibility when her white privilege keeps her from facing jail time,2,,,4,?,2,
27,Townhall,"Oh, Look: Former Staffer for a Failed Dem Presidential Candidate Was Arrested for Rioting",['2020/09/06'],698 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/oh-look-former-staffer-for-a-failed-dem-presidential-candidate-was-arrested-for-rioting-n2575739,"MAGADeplorable, too",Another indoctrinated brat with wealthy parentsBut knowing it's NYC she will walk when her parents pay for the damages she took part in,2,,,9,?,2,
28,Hot Air,"Judge bars Detroit police from using rubber bullets, tear gas",['2020/09/06'],84 comments,https://hotair.com/archives/jazz-shaw/2020/09/06/judge-bars-detroit-police-using-rubber-bullets-tear-gas/,"MAGADeplorable, too",No surprise marxist judges side with the criminals attacking societyWhat part of upholding the rule of law don't these marxist chicks comprehend as they side with criminals across America,2,,,1,?,2,
29,Townhall,How Biden Adviser Symone Sanders Is Spinning the 'Peaceful Protestor' Narrative,['2020/09/06'],460 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/how-biden-adviser-symone-sanders-is-spinning-the-peaceful-protestor-narrative-n2575738,"MAGADeplorable, too",They need to write about what they knowGoing from he to it will never be a best seller however,0,,Jack Hart,2,?,0,
30,Townhall,How Biden Adviser Symone Sanders Is Spinning the 'Peaceful Protestor' Narrative,['2020/09/06'],460 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/how-biden-adviser-symone-sanders-is-spinning-the-peaceful-protestor-narrative-n2575738,"MAGADeplorable, too",If simian sanders is the best hired gun you can findJoey B is in deep kimchee,2,,,3,?,2,
31,Townhall,How Biden Adviser Symone Sanders Is Spinning the 'Peaceful Protestor' Narrative,['2020/09/06'],460 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/how-biden-adviser-symone-sanders-is-spinning-the-peaceful-protestor-narrative-n2575738,"MAGADeplorable, too",Was that before or after she was part of bernie the commies campaign staff?,2,,Suzy Q,4,?,2,
32,Townhall,How Biden Adviser Symone Sanders Is Spinning the 'Peaceful Protestor' Narrative,['2020/09/06'],460 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/how-biden-adviser-symone-sanders-is-spinning-the-peaceful-protestor-narrative-n2575738,"MAGADeplorable, too","Joey b is following in the steps of his bestest pal, the kenyun klownHe surrounds himself with those dumber then he is",2,,,1,?,2,
33,Townhall,How Biden Adviser Symone Sanders Is Spinning the 'Peaceful Protestor' Narrative,['2020/09/06'],460 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/how-biden-adviser-symone-sanders-is-spinning-the-peaceful-protestor-narrative-n2575738,"MAGADeplorable, too",Does joey b dare NOT finger her?,2,,Michael,1,?,2,
34,Townhall,How Biden Adviser Symone Sanders Is Spinning the 'Peaceful Protestor' Narrative,['2020/09/06'],460 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/how-biden-adviser-symone-sanders-is-spinning-the-peaceful-protestor-narrative-n2575738,"MAGADeplorable, too",Previously at age 24 she was listed as a senior adviser when she worked on bernie the commie's campaign against the hag,2,,,2,?,2,
35,Townhall,How Biden Adviser Symone Sanders Is Spinning the 'Peaceful Protestor' Narrative,['2020/09/06'],460 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/how-biden-adviser-symone-sanders-is-spinning-the-peaceful-protestor-narrative-n2575738,"MAGADeplorable, too",Former middle lineblacker simian sanders is joey b's muscular bodyguard,0,,,0,0,0,
36,Townhall,How Biden Adviser Symone Sanders Is Spinning the 'Peaceful Protestor' Narrative,['2020/09/06'],460 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/how-biden-adviser-symone-sanders-is-spinning-the-peaceful-protestor-narrative-n2575738,"MAGADeplorable, too",Simian sanders changed from orally servicing bernie the commie to mouthing joey b,2,,Mike McCrindle,0,0,2,
37,Hot Air,Why the economic scars of rioting will haunt Minneapolis for decades,['2020/09'],16 comments,https://hotair.com/headlines/archives/2020/09/economic-scars-rioting-will-haunt-minneapolis-decades/,"MAGADeplorable, too","50 plus years after ghetto thug riots in detoilet, there are still visible scarsAlong with the city stuck with tearing down thousands of abandoned and burned out housesAnd from pictures it looks like there is far more damage in commieapolis",2,,,0,0,2,
38,Twitchy,‘Bill’s face!!’ Video of Hillary Clinton ranting about losing in 2016 while her husband watches helplessly is captivating the Internet,['2020/09/05'],286 comments,https://twitchy.com/dougp-3137/2020/09/05/bills-face-video-of-hillary-clinton-ranting-about-losing-in-2016-while-her-husband-watches-helplessly-is-captivating-the-internet/,"MAGADeplorable, too",When Imus interviewed bill from ChappaquaBill always whined the hag wouldn't let him watch her girl on girl action,2,,,1,?,2,
39,Twitchy,‘Bill’s face!!’ Video of Hillary Clinton ranting about losing in 2016 while her husband watches helplessly is captivating the Internet,['2020/09/05'],286 comments,https://twitchy.com/dougp-3137/2020/09/05/bills-face-video-of-hillary-clinton-ranting-about-losing-in-2016-while-her-husband-watches-helplessly-is-captivating-the-internet/,"MAGADeplorable, too",I have no sympathy for lefties who make bad choices in their livesThe hag was always bubba's beard for his philandering,2,,JR48,1,?,2,
40,Twitchy,‘Bill’s face!!’ Video of Hillary Clinton ranting about losing in 2016 while her husband watches helplessly is captivating the Internet,['2020/09/05'],286 comments,https://twitchy.com/dougp-3137/2020/09/05/bills-face-video-of-hillary-clinton-ranting-about-losing-in-2016-while-her-husband-watches-helplessly-is-captivating-the-internet/,"MAGADeplorable, too",Bubba has to be thinking the oval office wasn't worth staying married to this whining btch,2,,,0,0,2,
41,Townhall,WATCH: Kamala Squirms When Asked About Her Previous Stance on Law Enforcement,['2020/09/06'],323 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/watch-kamala-squirms-when-asked-about-her-previous-stance-on-law-enforcement-n2575736,"MAGADeplorable, too",The only police cars I see in my neighborhood are those driven by 2 neighborsorThe occasional police car checking the public park close to our nearby mountain,0,,ScottishRed the Deplorable,1,?,0,
42,Townhall,WATCH: Kamala Squirms When Asked About Her Previous Stance on Law Enforcement,['2020/09/06'],323 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/watch-kamala-squirms-when-asked-about-her-previous-stance-on-law-enforcement-n2575736,"MAGADeplorable, too",A stiff male member has no conscience,2,,kobetabber,0,0,2,
43,Townhall,WATCH: Kamala Squirms When Asked About Her Previous Stance on Law Enforcement,['2020/09/06'],323 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/watch-kamala-squirms-when-asked-about-her-previous-stance-on-law-enforcement-n2575736,"MAGADeplorable, too",Guess willie brown's ho's skin tone isn't an assetWe been there and done that with the kenyun klown and lived through 8 years of failed leadership while the trannie couple couldn't stop playing the race/victim card,1,,,2,?,1,?
44,Townhall,WATCH: Kamala Squirms When Asked About Her Previous Stance on Law Enforcement,['2020/09/06'],323 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/watch-kamala-squirms-when-asked-about-her-previous-stance-on-law-enforcement-n2575736,"MAGADeplorable, too",Seems even the pravda media has woken up to reality willie brown's ho is a fraud who can't help joey b win the oval office,2,,,1,?,2,
45,Townhall,WATCH: Kamala Squirms When Asked About Her Previous Stance on Law Enforcement,['2020/09/06'],323 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/watch-kamala-squirms-when-asked-about-her-previous-stance-on-law-enforcement-n2575736,"MAGADeplorable, too",Impossible to overcome being an idiot,2,,Bulldog74,5,?,2,
46,Townhall,WATCH: Kamala Squirms When Asked About Her Previous Stance on Law Enforcement,['2020/09/06'],323 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/watch-kamala-squirms-when-asked-about-her-previous-stance-on-law-enforcement-n2575736,"MAGADeplorable, too",Hasn't it been reported willie brown's ho contributed to the funds to bail rioting criminals out of jail,2,,,0,0,2,
47,Townhall,A Message for LeBron James,['2020/09/06'],565 comments,https://townhall.com/columnists/wayneallynroot/2020/09/06/a-message-for-lebron-james-n2575683,"MAGADeplorable, too",The chicoms may love the kneelgroe leagueBut it's only if these losers stay in America,1,,Hopeforchange,0,0,1,
48,Townhall,A Message for LeBron James,['2020/09/06'],565 comments,https://townhall.com/columnists/wayneallynroot/2020/09/06/a-message-for-lebron-james-n2575683,"MAGADeplorable, too",Leboob is the latest imbecile who takes his racism orders from the kenyun klown,2,,,0,0,2,
49,Townhall,A Message for LeBron James,['2020/09/06'],565 comments,https://townhall.com/columnists/wayneallynroot/2020/09/06/a-message-for-lebron-james-n2575683,"MAGADeplorable, too","Leboob was a professional in HSHe lived with his white basketball coach and away from his welfare motherHe drove a Hummer, the kind of vehicle welfare folks could never ownWhite owners of teams and sports shoes made him a mega $millionaire and instead of any sense of gratitude he spews racist hatred at whites",2,,,1,?,2,
50,Hot Air,Dem unions planning strikes over social justice… just in time for the election,['2020/09/06'],219 comments,https://hotair.com/archives/jazz-shaw/2020/09/06/dem-unions-planning-strikes-social-justice-just-time-election/,"MAGADeplorable, too",Long past time to destroy the teachers unions that guaranteed a paycheck and big pension for those who failed at their jobs for yearsIndoctrination long ago took the place of education,2,,Sol Asylum,11,?,2,
51,Hot Air,Dem unions planning strikes over social justice… just in time for the election,['2020/09/06'],219 comments,https://hotair.com/archives/jazz-shaw/2020/09/06/dem-unions-planning-strikes-social-justice-just-time-election/,"MAGADeplorable, too",Social justiceLeftist/marxist lunacy that magguts be given what they can't earnMeanwhile what socialist programs are the unions funding for the downtrodden they tell lies they are concerned about,2,,,2,?,2,
52,Twitchy,‘Bill’s face!!’ Video of Hillary Clinton ranting about losing in 2016 while her husband watches helplessly is captivating the Internet,['2020/09/05'],286 comments,https://twitchy.com/dougp-3137/2020/09/05/bills-face-video-of-hillary-clinton-ranting-about-losing-in-2016-while-her-husband-watches-helplessly-is-captivating-the-internet/,"MAGADeplorable, too",Mutual assured destructionIn a divorce both could/would go nuclear on the other,0,,Danny Meeker,3,?,0,
53,Twitchy,‘Bill’s face!!’ Video of Hillary Clinton ranting about losing in 2016 while her husband watches helplessly is captivating the Internet,['2020/09/05'],286 comments,https://twitchy.com/dougp-3137/2020/09/05/bills-face-video-of-hillary-clinton-ranting-about-losing-in-2016-while-her-husband-watches-helplessly-is-captivating-the-internet/,"MAGADeplorable, too",Could be an std from pedo Island,2,,DaveInIA,1,?,2,
54,Twitchy,‘Bill’s face!!’ Video of Hillary Clinton ranting about losing in 2016 while her husband watches helplessly is captivating the Internet,['2020/09/05'],286 comments,https://twitchy.com/dougp-3137/2020/09/05/bills-face-video-of-hillary-clinton-ranting-about-losing-in-2016-while-her-husband-watches-helplessly-is-captivating-the-internet/,"MAGADeplorable, too",My plea to BubbaDON'T schedule an intervention for the hagIt is too much fun watching her almost daily meltdown rantsBut do make sure you have industrial strength depends for the hags need to soil herself while filming another videoAnd more cases of vodka so she can self medicate while you enjoy some quiet after she passes out,2,,,2,?,2,
55,Twitchy,‘Bill’s face!!’ Video of Hillary Clinton ranting about losing in 2016 while her husband watches helplessly is captivating the Internet,['2020/09/05'],286 comments,https://twitchy.com/dougp-3137/2020/09/05/bills-face-video-of-hillary-clinton-ranting-about-losing-in-2016-while-her-husband-watches-helplessly-is-captivating-the-internet/,"MAGADeplorable, too",The hag can't let go of the dnc broken promise that she would be given the oval office as a present,2,,,2,?,2,
56,Twitchy,‘Bill’s face!!’ Video of Hillary Clinton ranting about losing in 2016 while her husband watches helplessly is captivating the Internet,['2020/09/05'],286 comments,https://twitchy.com/dougp-3137/2020/09/05/bills-face-video-of-hillary-clinton-ranting-about-losing-in-2016-while-her-husband-watches-helplessly-is-captivating-the-internet/,"MAGADeplorable, too",Pathetic that the hag can't let go of the pastBut it's great that President Trump continues to drive her schittehouse rat crazy,2,,,5,?,2,
57,Townhall,Democrats Have Created 'Two Americas',['2020/09/06'],366 comments,https://townhall.com/columnists/derekhunter/2020/09/06/democrats-have-created-two-americas-n2575731,"MAGADeplorable, too",No doubt the antifa and blm terrorists have been indoctrinated to believe their riots will bring about a great socialist nirvana where each of these losers will have their own rainbow farting unicorn,2,,,2,?,2,
58,Townhall,WATCH: Biden Asks China to Help Him Become President,['2020/09/05'],802 comments,https://townhall.com/tipsheet/bronsonstocking/2020/09/05/watch-biden-asks-china-to-help-him-become-president-n2575723,"MAGADeplorable, too",I hazzard the guess there are more deer hunters then there are antifa terroristsChange to year round hunting season with a unlimited bag limit,1,,larry The Deplorable,6,?,1,?
59,Townhall,WATCH: Biden Asks China to Help Him Become President,['2020/09/05'],802 comments,https://townhall.com/tipsheet/bronsonstocking/2020/09/05/watch-biden-asks-china-to-help-him-become-president-n2575723,"MAGADeplorable, too",Asking for a friendWhy was joey b's longest interview in recent months with cardi b?Guess they were having a moron's contest and it was fought to the very endBefore ending in a draw,2,,,4,?,2,
60,Townhall,WATCH: Biden Asks China to Help Him Become President,['2020/09/05'],802 comments,https://townhall.com/tipsheet/bronsonstocking/2020/09/05/watch-biden-asks-china-to-help-him-become-president-n2575723,"MAGADeplorable, too",Commies always prey on the weakAnd joey b with his dementia is the weakest of candidatesLike the kenyun he has been reduced to reading his traveling orders off a teleprompter,2,,Deplorable Pelosi Schmelosi,3,?,2,
61,Townhall,WATCH: Biden Asks China to Help Him Become President,['2020/09/05'],802 comments,https://townhall.com/tipsheet/bronsonstocking/2020/09/05/watch-biden-asks-china-to-help-him-become-president-n2575723,"MAGADeplorable, too",That was supposed to happen when countries expanded their economies to help ChinaInstead the chicoms used a growing economy to consolidate power and enslave their countries population not part of the govt,2,,335blues,0,0,2,
62,Townhall,WATCH: Biden Asks China to Help Him Become President,['2020/09/05'],802 comments,https://townhall.com/tipsheet/bronsonstocking/2020/09/05/watch-biden-asks-china-to-help-him-become-president-n2575723,"MAGADeplorable, too",Joey B has named mayor buttgag to his transition teamHe sure can pick losers,2,,,7,?,2,
63,Townhall,WATCH: Biden Asks China to Help Him Become President,['2020/09/05'],802 comments,https://townhall.com/tipsheet/bronsonstocking/2020/09/05/watch-biden-asks-china-to-help-him-become-president-n2575723,"MAGADeplorable, too",Which commiecrat traitor has been an unregistered foreign agent for the chicoms the longest?Joey B or diane finestain?,2,,,4,?,2,
64,Twitchy,"Video shows mostly peaceful protesters in Rochester, NY winning hearts and minds by torching a bus stop, mobbing restaurants, smashing table…",['2020/09/05'],263 comments,https://twitchy.com/dougp-3137/2020/09/05/video-shows-mostly-peaceful-protesters-in-rochester-ny-winning-hearts-and-minds-by-torching-a-bus-stop-mobbing-restaurants-smashing-tables-and-chasing-off-scared-diners/,"MAGADeplorable, too",When the race/civil war beginsTarget these self hating woke whites who have hijacked the blm lunacy and turned it into an assault on our RepublicThese white losers did nothing to help the so called oppressed ghetto losers before the death of drug addict George FloydBut think carrying signs and assaulting whites who won't join the insanity is somehow making things better in AmericaAlong with their delusion riots and looting by ghetto magguts is a solution to the racism advanced by the kenyun klown and his destroy America handlers,1,,,1,?,1,
65,Twitchy,"Video shows mostly peaceful protesters in Rochester, NY winning hearts and minds by torching a bus stop, mobbing restaurants, smashing table…",['2020/09/05'],263 comments,https://twitchy.com/dougp-3137/2020/09/05/video-shows-mostly-peaceful-protesters-in-rochester-ny-winning-hearts-and-minds-by-torching-a-bus-stop-mobbing-restaurants-smashing-tables-and-chasing-off-scared-diners/,"MAGADeplorable, too","According to population density accounts for Rochester, 40% of the population is ghetto darkThat number seems high based on it's location in upstate NYBut as disgusting as these blm terrorists areThe self hating woke whites are by far the most patheticThey have embraced the agenda of ghetto magguts that are the most violent and infest the bottom rungs of the economic ladder while they demand more handouts and now spew the lunacy that looting is justified because they are owed reparations",1,,,0,0,1,
66,Townhall,WATCH: Trump Campaign's New Ad Demolishes Biden Supporters,['2020/09/05'],922 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/05/watch-trump-campaigns-new-ad-demolishes-biden-supporters-n2575715,"MAGADeplorable, too",Impossible to attack the truth,0,,Kirk McDonald,0,0,0,
67,Townhall,WATCH: Trump Campaign's New Ad Demolishes Biden Supporters,['2020/09/05'],922 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/05/watch-trump-campaigns-new-ad-demolishes-biden-supporters-n2575715,"MAGADeplorable, too",Asking for a friendBLM marchers ion Filthadelphia marching and calling for death to America is far from peaceful when they incite hatred among the ghetto magguts,2,,,0,0,2,?
68,Hot Air,Federal judge halts Trump administration policy detaining migrant children in hotels,['2020/09/05'],86 comments,https://hotair.com/archives/karen-townsend/2020/09/05/federal-judge-halts-trump-administration-policy-detaining-migrant-children-hotels/,"MAGADeplorable, too",Works for meWhile they await bus transportation south across the border,0,,martynWW,0,0,0,?
69,Townhall,"Oh, So Only This Percentage of BLM Protests Are Violent",['2020/09/04'],195 comments,https://townhall.com/tipsheet/bronsonstocking/2020/09/04/oh-so-leftist-protests-are-only-violent-ten-percent-of-the-time-n2575695,"MAGADeplorable, too",No one argues there shouldn't be a legal process for everyone indicted for a crimeBut mindless haters like you demand no punishment for magguts like you who loot and vandalize,2,,Sayeed2k,0,0,2,
70,Townhall,"Oh, So Only This Percentage of BLM Protests Are Violent",['2020/09/04'],195 comments,https://townhall.com/tipsheet/bronsonstocking/2020/09/04/oh-so-leftist-protests-are-only-violent-ten-percent-of-the-time-n2575695,"MAGADeplorable, too",Wrong imbecileThe colonists were viewed as cash cows for the British Empire but weren't allowed any say in how they were governedNo real surprise you are just another mindless indoctrinated imbecileFor losers like you history only began with the election of the kenyun,2,,Sayeed2k,1,?,2,
