,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Hate?,Flag ???,Responding to,Upvotes,Downvotes
10,The Daily Wire,"California Braces For Possible Power Outages Amidst Heat Wave, Again",[],126 comments,https://www.dailywire.com/news/california-braces-for-possible-power-outages-amidst-heat-wave-again,NDPACKER,"It could not happen to a nicer bunch of sniveling, lying, liberal communist propagandists.",2,,Kyle Reynolds,1,?
11,The Daily Wire,Restaurants Side With Protesters After Protesters Chase Customers Out Of Esta…,[],449 comments,https://www.dailywire.com/news/restaurants-side-with-protesters-after-protesters-chase-customers-out-of-establishment,NDPACKER,Boycott all of those restaurants!,0,,WinstonGalt,7,?
12,Twitchy,BUSTED! Spencerport HS Asst. Principal Steve Lysenko records HIMSELF chanting…,['2020/09/06'],276 comments,https://twitchy.com/samj-3930/2020/09/06/busted-spencerport-hs-asst-principal-steve-lysenko-records-himself-chanting-fk-the-police-and-other-obscenities-during-riot/,NDPACKER,Rochester is just another democrat controlled third-world sh*thole.  He will probably get a raise and a promotion.,2,,EWizzyE ✓JDSon,25,1
13,Twitchy,‘Bill’s face!!’ Video of Hillary Clinton ranting about losing in 2016 while her hu…,['2020/09/05'],286 comments,https://twitchy.com/dougp-3137/2020/09/05/bills-face-video-of-hillary-clinton-ranting-about-losing-in-2016-while-her-husband-watches-helplessly-is-captivating-the-internet/,NDPACKER,What a crazy shrew she is.,2,,Arttie the nonVIP Deplorable,5,?
14,The Daily Wire,GOP Senate Candidate In Minnesota Suggests State Could Flip Red Due To ‘Cr…,[],125 comments,https://www.dailywire.com/news/gop-senate-candidate-in-minnesota-suggests-state-could-flip-red-due-to-crazy-urban-liberals,NDPACKER,"There is a song in the Movie MASH that goes, ""Suicide is painless"".  Do us all a great favor and try it.",2,?,JimBob5,2,1
15,The Daily Wire,BREAKING: Kamala Harris Promotes ‘Dangerous Conspiracy Theory’ About Co…,[],1043 comments,https://www.dailywire.com/news/breaking-kamala-harris-promotes-dangerous-conspiracy-theory-about-coronavirus-vaccine,NDPACKER,ALL democrats lie ALL the time.  ALL members of the main stream media lie ALL the time.,2,,i__Cry,10,?
16,The Daily Wire,"BREAKING: Far-Left Black Lives Matter Storms Rochester, People Climb On Hom…",[],764 comments,https://www.dailywire.com/news/breaking-far-left-black-lives-matter-storms-rochester-people-climb-on-homes-trash-businesses,NDPACKER,Kill.  Them.  All.,1,,Tilmon Hocutt,9,?
17,Twitchy,Moms Demand Action responds to record August gun sales,['2020/09/05'],403 comments,https://twitchy.com/gregp-3534/2020/09/05/moms-demand-action-responds-to-record-august-gun-sales/,NDPACKER,"Don't forget the media, the democrats and any other socialist or communist controlled organization.",0,?,bubba the dog,4,?
18,Twitchy,"Howard Dean curses out President Trump, notes his brother’s death in Laos in 1974",['2020/09/04'],274 comments,https://twitchy.com/gregp-3534/2020/09/04/howard-dean-curses-out-president-trump-notes-his-brothers-death-in-laos-in-1974/,NDPACKER,Who?,0,,Gary Warren,1,?
19,Twitchy,‘You are a house n****r’: Protesters curse at cops after getting arrested for blockin…,['2020/09/04'],173 comments,https://twitchy.com/gregp-3534/2020/09/04/you-are-a-house-nr-protesters-curse-at-cops-after-getting-arrested-for-blocking-i-5-in-seattle/,NDPACKER,It was ruined by the democrats that run the third-world sh*thole.,2,,Pierre Danger,4,?
20,Twitchy,Reporter says it’s ‘ludicrous’ to suggest a ‘multi-million dollar journalism enterpri…,['2020/09/04'],111 comments,https://twitchy.com/dougp-3137/2020/09/04/investigative-reporter-says-its-ludicrous-to-suggest-a-multi-million-dollar-journalism-enterprise-like-the-atlantic-would-run-a-made-up-story-trips-over-other-multi-million-dollar-journalis/,NDPACKER,"President Trump needs to go on the offensive and sue this sniveling, lying, liberal rag out of existence.",2,,Dave,2,?
21,The Daily Wire,Over 350 NY Restaurants Join Lawsuit Targeting Cuomo Over Indoor Dining,[],173 comments,https://www.dailywire.com/news/over-350-ny-restaurants-join-lawsuit-targeting-cuomo-over-indoor-dining,NDPACKER,You have to pay the mafia protection money and apparently gov guido has not been getting his taste.,0,,fmMD,2,?
22,The Daily Wire,Mitt Romney: Trump Wants To ‘Inflame Racial Tensions.’ Trump: ‘Mitt Romney C…,[],371 comments,https://www.dailywire.com/news/mitt-romney-trump-wants-to-inflame-racial-tensions-trump-mitt-romney-couldnt-be-elected-dog-catcher-right-now-in-utah,NDPACKER,"There is a line in a song in the MASH movie that goes, ""Suicide is painless"".  Hear me mitch.  Do us all a favor...",2,???,liberalismmakesmequeasy,1,?
23,Twitchy,‘He’s losing his mind!’ Joe Biden has ‘another Ron Bergundy moment’ and ca…,['2020/09/04'],117 comments,https://twitchy.com/sarahd-313035/2020/09/04/hes-losing-his-mind-joe-biden-has-another-ron-bergundy-moment-and-can-we-maybe-talk-about-his-cognitive-fitness-yet-video/,NDPACKER,Funniest video of the day!  Thank you twitchy.,0,,jamesben,3,?
24,The Daily Wire,"Poll: Trump Is Right, Huge Percentage Of Fans Turning Off NBA Because It’s ‘Too P…",[],369 comments,https://www.dailywire.com/news/poll-trump-is-right-huge-percentage-of-fans-turning-off-nba-because-its-too-political,NDPACKER,Overpaid anti-American monkeys telling me what I should think or believe.  NOT GONNA HAPPEN!MAGA!,2,,,8,?
25,Twitchy,"‘100% Antifa’ member Michael Reinoehl, suspected of killing Aaron Danielson in P…",['2020/09/04'],251 comments,https://twitchy.com/samj-3930/2020/09/04/100-antifa-member-michael-reinoehl-suspected-of-killing-aaron-danielson-in-portland-killed-by-federal-authorities/,NDPACKER,"Hey, hey!",0,,Boots/NailFAC,3,?
26,Twitchy,"‘100% Antifa’ member Michael Reinoehl, suspected of killing Aaron Danielson in P…",['2020/09/04'],251 comments,https://twitchy.com/samj-3930/2020/09/04/100-antifa-member-michael-reinoehl-suspected-of-killing-aaron-danielson-in-portland-killed-by-federal-authorities/,NDPACKER,You.  Are.  Wrong.  The reason you are wrong is because antifa are just a bunch of soy boy cowards that will start running for their lives because WE THE PEOPLE are standing up to them.,2,,Tileus,7,?
27,Twitchy,"‘100% Antifa’ member Michael Reinoehl, suspected of killing Aaron Danielson in P…",['2020/09/04'],251 comments,https://twitchy.com/samj-3930/2020/09/04/100-antifa-member-michael-reinoehl-suspected-of-killing-aaron-danielson-in-portland-killed-by-federal-authorities/,NDPACKER,"One down, 100,000 more to go.",2,?,,32,?
28,The Daily Wire,WATCH: Police Rush Out On Street To Clear Antifa After They Mourn Death Of Fellow…,[],159 comments,https://www.dailywire.com/news/watch-police-rush-out-on-street-to-clear-antifa-after-they-mourn-death-of-fellow-extremist,NDPACKER,"Kill every ""member"" of the antifa organization and make America great again!",1,,Travis,3,?
29,Twitchy,‘The Daily Show’s’ Trevor Noah says those protecting businesses from looting ‘do it…,['2020/09/03'],284 comments,https://twitchy.com/brettt-3136/2020/09/03/the-daily-shows-trevor-noah-says-those-protecting-businesses-from-looting-do-it-because-theyre-hoping-to-shoot-someone/,NDPACKER,He is wrong.  People with guns are just hunting monkeys.,2,?,nodhimmi,1,?
30,Twitchy,‘I had no choice’: VICE News interviews man who admits to killing a Trump supp…,['2020/09/03'],405 comments,https://twitchy.com/brettt-3136/2020/09/03/i-had-no-choice-vice-news-interviews-man-who-admits-to-killing-a-trump-supporter-in-portland/,NDPACKER,"He's dead now, so no more interviews.",0,,Russ Reecer,2,?
31,The Daily Wire,Anonymous Sources Tell Mag Trump Called Dead Troops ‘Losers.’ 5 Witnesses Go On…,[],525 comments,https://www.dailywire.com/news/anonymous-sources-tell-mag-trump-called-dead-troops-losers-5-witnesses-go-on-record-to-dispute,NDPACKER,This is just more fake news from a dying magazine.  Ignore it.,0,,Big Cat,13,1
32,Twitchy,‘They’re flat-out threatening you now’: WaPo’s election simulation predicts cata…,['2020/09/03'],195 comments,https://twitchy.com/dougp-3137/2020/09/03/theyre-flat-out-threatening-you-now-wapos-election-simulation-predicts-catastrophe-and-violence-in-any-outcome-other-than-a-biden-landslide-win/,NDPACKER,Everyone working for the Washington Post should be slaughtered like the pigs they are.,1,,Thulsa Doom,0,0
33,Twitchy,‘Utterly glorious’: Kayleigh McEnany kicked off WH presser by obliterating Na…,['2020/09/03'],93 comments,https://twitchy.com/dougp-3137/2020/09/03/utterly-glorious-kayleigh-mcenany-kicked-off-wh-presser-by-obliterating-nancy-pelosis-hypocrisy-blame-shifting-and-apology-demand-from-a-small-biz-owner/,NDPACKER,God bless Kayleigh McEnany!MAGA!,0,,bmosvg2015,12,?
34,Twitchy,Reporter reminds everybody that the lack of energy in Kenosha for Biden (vs. the r…,['2020/09/03'],182 comments,https://twitchy.com/dougp-3137/2020/09/03/reporter-reminds-everybody-that-the-lack-of-energy-in-kenosha-for-biden-vs-the-response-trump-received-is-deliberate/,NDPACKER,I'm guessing the good people of Kenosha finally figured out it was actions taken by democrats like sleepy joe that turned their city into a smoldering third-world sh*thole.,2,,El Mas Taco,8,?
35,The Daily Wire,Lung Cancer Patient Kicked Out Of Bingo Hall For Not Covering Breathing Hole In…,[],124 comments,https://www.dailywire.com/news/lung-cancer-patient-kicked-out-of-bingo-hall-for-not-covering-breathing-hole-in-neck-with-a-mask-son-says,NDPACKER,There is nothing in the story that indicated she EVEN SMOKED.  you are such an idiot.,2,,Johnk,0,0
36,The Daily Wire,Lung Cancer Patient Kicked Out Of Bingo Hall For Not Covering Breathing Hole In…,[],124 comments,https://www.dailywire.com/news/lung-cancer-patient-kicked-out-of-bingo-hall-for-not-covering-breathing-hole-in-neck-with-a-mask-son-says,NDPACKER,"So if someone just gets cancer they deserve your pity, but if they were a smoker they do not?  Really?",0,,Chronic Barry,1,?
37,The Daily Wire,Lung Cancer Patient Kicked Out Of Bingo Hall For Not Covering Breathing Hole In…,[],124 comments,https://www.dailywire.com/news/lung-cancer-patient-kicked-out-of-bingo-hall-for-not-covering-breathing-hole-in-neck-with-a-mask-son-says,NDPACKER,Why do you have so much hate in your heart?  Where did it come from?  Did God or Satan fill your heart with hate?,0,,Chronic Barry,1,?
38,The Daily Wire,Lung Cancer Patient Kicked Out Of Bingo Hall For Not Covering Breathing Hole In…,[],124 comments,https://www.dailywire.com/news/lung-cancer-patient-kicked-out-of-bingo-hall-for-not-covering-breathing-hole-in-neck-with-a-mask-son-says,NDPACKER,And you can prove she got cancer due to tobacco use?  You have an abnormal amount of hate in your heart.  Did Satan put that there?,0,,Chronic Barry,1,?
39,The Daily Wire,Lung Cancer Patient Kicked Out Of Bingo Hall For Not Covering Breathing Hole In…,[],124 comments,https://www.dailywire.com/news/lung-cancer-patient-kicked-out-of-bingo-hall-for-not-covering-breathing-hole-in-neck-with-a-mask-son-says,NDPACKER,"ALL of canada is gross.  There, I fixed it for you.",2,,Chris Jonesen,0,0
40,The Daily Wire,Lung Cancer Patient Kicked Out Of Bingo Hall For Not Covering Breathing Hole In…,[],124 comments,https://www.dailywire.com/news/lung-cancer-patient-kicked-out-of-bingo-hall-for-not-covering-breathing-hole-in-neck-with-a-mask-son-says,NDPACKER,This is canada.  I believe it.,0,,Another Day,0,0
41,The Daily Wire,Lung Cancer Patient Kicked Out Of Bingo Hall For Not Covering Breathing Hole In…,[],124 comments,https://www.dailywire.com/news/lung-cancer-patient-kicked-out-of-bingo-hall-for-not-covering-breathing-hole-in-neck-with-a-mask-son-says,NDPACKER,And why would you need to know that?,0,,Chronic Barry,2,?
42,The Daily Wire,Lung Cancer Patient Kicked Out Of Bingo Hall For Not Covering Breathing Hole In…,[],124 comments,https://www.dailywire.com/news/lung-cancer-patient-kicked-out-of-bingo-hall-for-not-covering-breathing-hole-in-neck-with-a-mask-son-says,NDPACKER,"Who cares?  It's canada, eh.",0,,,0,0
43,Twitchy,Rand Paul and Thomas Massie call out the CDC over new edict on evictions,['2020/09/03'],93 comments,https://twitchy.com/gregp-3534/2020/09/03/rand-paul-and-thomas-massie-call-out-the-cdc-over-new-edict-on-evictions/,NDPACKER,Stop all funding of the CDC...NOW!,2,?,EOD,2,?
44,Twitchy,"Nancy Pelosi digs grave deeper, ‘going all-in on the victim angle’ with a little help f…",['2020/09/03'],138 comments,https://twitchy.com/sarahd-313035/2020/09/03/nancy-pelosi-digs-grave-deeper-going-all-in-on-the-victim-angle-with-a-little-help-from-a-lawyer-and-her-garbage-daughter-christine/,NDPACKER,Fixed it.  Thanks.,0,,Phxhng,4,?
45,Twitchy,"Nancy Pelosi digs grave deeper, ‘going all-in on the victim angle’ with a little help f…",['2020/09/03'],138 comments,https://twitchy.com/sarahd-313035/2020/09/03/nancy-pelosi-digs-grave-deeper-going-all-in-on-the-victim-angle-with-a-little-help-from-a-lawyer-and-her-garbage-daughter-christine/,NDPACKER,"The entire pelosi family are nothing but a bunch of sniveling, lying, corrupt, liberal communist propagandists.VOTE EVERY DEMOCRAT OUT OF OFFICE IN 2020!MAGA!",2,,idontknow,14,?
46,Twitchy,Disgraced ex-rep and Party of Science™ member Katie Hill comes out against CO…,['2020/09/03'],99 comments,https://twitchy.com/sarahd-313035/2020/09/03/disgraced-ex-rep-and-party-of-science-member-katie-hill-comes-out-against-covid-vaccine-that-might-get-dictator-donald-trump-re-elected/,NDPACKER,The wh*re from the peoples republic of california?  That katie hill.,2,?,,3,?
47,Twitchy,"Grown woman confronts (i.e., assaults) 12-year-old boy riding his bike with a Trum…",['2020/09/02'],300 comments,https://twitchy.com/brettt-3136/2020/09/02/grown-woman-confronts-i-e-assaults-12-year-old-boy-riding-his-bike-with-a-trump-sign-on-it/,NDPACKER,Find that b*tch and kill her.,1,,SL Dek,2,?
48,The Daily Wire,St. Louis’s Mayor Temporarily Relocates After Far-Left Repeatedly Shows Up At H…,[],86 comments,https://www.dailywire.com/news/st-louiss-mayor-temporarily-relocates-after-far-left-repeatedly-shows-up-at-her-home,NDPACKER,Another former great American city turned into a third-world sh*thole by democrats.,2,,IABassBoy,1,?
49,The Daily Wire,NFL Will Call To ‘End Racism’ In Giant End Zone Messages,[],323 comments,https://www.dailywire.com/news/nfl-will-call-to-end-racism-in-giant-end-zone-messages,NDPACKER,This may just work.  After all only blacks will be watching the games and we all know they are the most racist species on the planet.,2,,Capt. Frito,1,?
50,Twitchy,NPR says the world can learn from the success story of the Warsaw ghetto in fig…,['2020/09/03'],121 comments,https://twitchy.com/gregp-3534/2020/09/03/npr-says-the-world-can-learn-from-the-success-story-of-the-warsaw-ghetto-in-fighting-covid-19/,NDPACKER,Either defund NPR or kill everyone that works there.,1,,keyboard jockey,2,?
51,The Daily Wire,Democrat Mayors Of ‘Lawless’ Cities That Trump Intends To Defund Respond To Hi…,[],403 comments,https://www.dailywire.com/news/democrat-mayors-of-lawless-cities-that-trump-intends-to-defund-respond-to-his-plan,NDPACKER,So there has been no anarchy in these cities?  All democrats lie all the time.,2,,ApresNousLaFaillite,7,?
52,Twitchy,‘He better have an army if he thinks he’s gonna walk down the street in New York’…,['2020/09/02'],405 comments,https://twitchy.com/brettt-3136/2020/09/02/he-better-have-an-army-if-he-thinks-hes-gonna-walk-down-the-street-in-new-york-gov-andrew-cuomo-threatens-president-trump/,NDPACKER,What do you expect from a member of the mafia?,0,,,0,0
53,The Daily Wire,"Biden Campaign Panic? Dem Candidate Announces Visit To Kenosha, Multi-Millio…",[],299 comments,https://www.dailywire.com/news/biden-campaign-panic-dem-candidate-announces-visit-to-kenosha-multi-million-dollar-ad-campaign-denouncing-riots,NDPACKER,Too little too late Joe.,0,,Elton,1,?
54,Twitchy,Joe Biden tells reporter that Trump’s waiting for ‘angel dust to be sprayed aro…,['2020/09/02'],164 comments,https://twitchy.com/dougp-3137/2020/09/02/joe-biden-tells-reporter-that-trumps-waiting-for-angel-dust-to-be-sprayed-around-to-help-businesses/,NDPACKER,So it's not senility after all...it's PCP.,0,,Scot_L,4,?
55,Twitchy,‘Maybe he could…’: Brit Hume lets Portland Mayor Ted Wheeler know what…,['2020/09/02'],87 comments,https://twitchy.com/dougp-3137/2020/09/02/maybe-he-could-brit-hume-lets-portland-mayor-ted-wheeler-know-what-would-constitute-real-leadership-instead-of-what-hes-doing-which-is-moving/,NDPACKER,Isn't ted wheeler the president of the local antifa branch?,0,,,9,?
56,The Daily Wire,"AG Barr: Feds, National Guard Were Ready To Go Into Kenosha Immediately After Po…",[],363 comments,https://www.dailywire.com/news/ag-barr-feds-national-guard-were-ready-to-go-into-kenosha-immediately-after-police-shooting-extremists-came-from-out-of-town,NDPACKER,"Cities, counties and states run by democrats are too busy turning their areas of responsibility into third-world sh*tholes to notice buildings burning.",2,,wb191122,2,?
57,The Daily Wire,Politico Reporter Questions Whether It’s Legal To Post Security Footage Of Pelosi…,[],270 comments,https://www.dailywire.com/news/politico-reporter-questions-whether-its-legal-to-post-security-footage-of-pelosi-at-salon-since-california-is-a-two-party-consent-state,NDPACKER,Everyone forget what they saw.  I guess only democrats are capable of that.,0,,,2,?
58,Twitchy,‘YOU LIE!’ PBS NewsHour journo Yamiche Alcindor’s take on Donald Trump’s respo…,['2020/09/02'],96 comments,https://twitchy.com/sarahd-313035/2020/09/02/you-lie-pbs-newshour-journo-yamiche-alcindors-take-on-donald-trumps-response-to-blm-violence-is-nowhere-near-accurate-video/,NDPACKER,ALL democrats lie ALL the time.  ALL members of the main stream media (including pbs) lie ALL the time.  Defund them NOW!,2,,amm,5,?
59,Twitchy,"Taxpayer-funded NPR busts Donald Trump for ‘claiming, without evidence,’ that Kyl…",['2020/09/01'],105 comments,https://twitchy.com/sarahd-313035/2020/09/01/taxpayer-funded-npr-busts-donald-trump-for-claiming-without-evidence-that-kyle-rittenhouse-may-have-acted-in-self-defense/,NDPACKER,Either we defund NPR or we kill every one of the liars working there.,1,,Squid_Hunt,2,?
60,Twitchy,NYT columnist Michelle Goldberg’s attempted gaslighting on Joe Biden’s res…,['2020/09/01'],77 comments,https://twitchy.com/sarahd-313035/2020/09/01/nyt-columnist-michelle-goldbergs-attempted-gaslighting-on-joe-bidens-response-to-violence-is-one-of-the-most-insane-plays-ive-ever-seen/,NDPACKER,ALL democrats lie ALL the time.  ALL members of the main stream media lie ALL the time.  Ignore them.MAGA!,2,,Dave,3,?
61,The Daily Wire,"Oregon’s Democrat Governor Finally Releases Plan To Stop Violence. Sheriffs,…",[],574 comments,https://www.dailywire.com/news/oregons-democrat-governor-releases-plan-stop-violence-sheriffs-police-torch-her,NDPACKER,If only...,0,,countryboy1947,1,1
62,The Daily Wire,"Oregon’s Democrat Governor Finally Releases Plan To Stop Violence. Sheriffs,…",[],574 comments,https://www.dailywire.com/news/oregons-democrat-governor-releases-plan-stop-violence-sheriffs-police-torch-her,NDPACKER,God bless those two sheriffs for standing up to the hate filled satanic governor.,2,,Maritime Warrior,150,?
63,The Daily Wire,Chicago’s FBI Warns Cops ‘Gang Cabal’ May Be Targeting Police Officers To ‘Garner N…,[],82 comments,https://www.dailywire.com/news/chicagos-fbi-warns-cops-gang-cabal-may-be-targeting-police-officers-to-garner-national-media-attention,NDPACKER,"Typical sniveling, lying, liberal troll.  Attack the commentator and don't defend your very stupid comment.  You know nothing about how anything in life works.",2,,kalt,1,?
64,The Daily Wire,Chicago’s FBI Warns Cops ‘Gang Cabal’ May Be Targeting Police Officers To ‘Garner N…,[],82 comments,https://www.dailywire.com/news/chicagos-fbi-warns-cops-gang-cabal-may-be-targeting-police-officers-to-garner-national-media-attention,NDPACKER,You really typed a stupid comment.,2,,kalt,1,?
65,Twitchy,Dem Sen. Chris Murphy reminds Donald Trump that Kyle Rittenhouse was ‘CHAR…,['2020/09/01'],161 comments,https://twitchy.com/sarahd-313035/2020/09/01/dem-sen-chris-murphy-reminds-donald-trump-that-kyle-rittenhouse-was-charged-with-murder-so-he-couldntve-acted-in-self-defense/,NDPACKER,It is too bad chris murphy lives on this Earth.,2,,,3,?
66,The Daily Wire,"Far-Left Extremists Attack And Set Fire To Portland Apartments; Vandalize, Burglar…",[],218 comments,https://www.dailywire.com/news/far-left-extremists-attack-and-set-fire-to-portland-apartments-vandalize-burglarize-businesses,NDPACKER,Not in a democrat run third-world sh*thole like portland.,2,,Deasil,5,?
67,The Daily Wire,"‘Death To America!’: BLM Protesters Echo Iran During March Through Oakland, Calif.",[],201 comments,https://www.dailywire.com/news/death-to-america-blm-protesters-echo-iran-during-march-through-oakland-calif,NDPACKER,Oakland has been a third-world sh*thole for decades.,2,,Bud,10,?
68,Twitchy,Masks are essential at keeping people safe. Unless you’re an 87-year-old SCOTUS jus…,['2020/09/01'],169 comments,https://twitchy.com/gregp-3534/2020/09/01/masks-are-essential-at-keeping-people-safe-unless-youre-an-87-year-old-scotus-justice-then-theyre-optional/,NDPACKER,Especially knowing the wuhan virus only kills democrats.,2,,mer,0,0
69,Twitchy,‘Is this a liturgy of social justice?’ Priest leads congregation to affirm their white…,['2020/08/31'],320 comments,https://twitchy.com/brettt-3136/2020/08/31/is-this-a-liturgy-of-social-justice-priest-leads-congregation-to-affirm-their-white-privilege-is-unfair-and-harmful/,NDPACKER,I still believe in Jesus Christ and God...just not the catholic church.,0,,Shoah La Boof,12,?
70,Twitchy,‘Is this a liturgy of social justice?’ Priest leads congregation to affirm their white…,['2020/08/31'],320 comments,https://twitchy.com/brettt-3136/2020/08/31/is-this-a-liturgy-of-social-justice-priest-leads-congregation-to-affirm-their-white-privilege-is-unfair-and-harmful/,NDPACKER,"Go kill some unborn children, father.",1,,,5,?
71,Twitchy,"‘I am not sad that a f**king fascist died tonight,’ Portland ‘protester’ announces…",['2020/08/31'],171 comments,https://twitchy.com/brettt-3136/2020/08/31/i-am-not-sad-that-a-fking-fascist-died-tonight-portland-protester-announces-to-cheers-after-trump-supporter-killed/,NDPACKER,LOL!,0,,Nick_from_Detroit,1,?
72,Twitchy,"‘I am not sad that a f**king fascist died tonight,’ Portland ‘protester’ announces…",['2020/08/31'],171 comments,https://twitchy.com/brettt-3136/2020/08/31/i-am-not-sad-that-a-fking-fascist-died-tonight-portland-protester-announces-to-cheers-after-trump-supporter-killed/,NDPACKER,"52/9 is all you need to know to report and block this sniveling, lying, liberal, communist propagandist.",2,,chuck11,13,1
73,Twitchy,"‘I am not sad that a f**king fascist died tonight,’ Portland ‘protester’ announces…",['2020/08/31'],171 comments,https://twitchy.com/brettt-3136/2020/08/31/i-am-not-sad-that-a-fking-fascist-died-tonight-portland-protester-announces-to-cheers-after-trump-supporter-killed/,NDPACKER,Kill.  Every.  antif*g.  member.,1,,,3,?
74,The Daily Wire,Seahawks’ Pete Carroll: ‘White People’ ‘Need To Be Educated’ About Racism,[],778 comments,https://www.dailywire.com/news/seahawks-pete-carroll-white-people-need-to-be-educated-about-racism,NDPACKER,"As the song says ""Suicide is painless.""",2,?,Grant,2,?
75,The Daily Wire,Hundreds Rally At Massachusetts State House Against Mandatory Flu Vaccine Fo…,[],373 comments,https://www.dailywire.com/news/hundreds-rally-at-massachusetts-state-house-against-mandatory-flu-vaccine-for-all-students,NDPACKER,"That will never happen.  All teachers union dues are fed to local, state and national DNC chapters.",0,,Chronic Barry,6,1
76,Twitchy,"NBA ratings ‘are down 20% compared to last postseason,’ prove President Trump’…",['2020/08/30'],222 comments,https://twitchy.com/gregp-3534/2020/08/30/nba-ratings-are-down-20-compared-to-last-postseason-prove-president-trumps-point/,NDPACKER,How is all of that social justice warrioring working out for you Mark?,2,,Marvin Nelson,2,?
77,Twitchy,‘Warning flares being sent out’: Meghan McCain is agreeing with Michael Moore a…,['2020/08/30'],198 comments,https://twitchy.com/jacobb-38/2020/08/30/warning-flares-being-sent-out-meghan-mccain-is-agreeing-with-michael-moore-about-the-election-and-dems-might-want-to-listen/,NDPACKER,McCain and Moore are both liberal tw*ts.  Ignore them.,2,,,5,?
78,The Daily Wire,Michelle Obama: Whites Don’t Acknowledge Non-Whites Exist Or They…,[],969 comments,https://www.dailywire.com/news/michelle-obama-whites-dont-acknowledge-non-whites-exist-or-they-see-them-as-a-threat,NDPACKER,"mooshell is the most racist she-he in America,.",2,,Oldhead,16,1
