,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Responding to,Upvotes,Downvotes,Hate?,
10,The Gateway Pundit,Lancaster Black Lives Matter Militant Calls for People to Shoot Cops After Rioters Ar…,['2020/09'],443 comments,https://www.thegatewaypundit.com/2020/09/lancaster-black-lives-matter-militant-calls-people-shoot-cops-rioters-shot-rubber-bullets-video/,Acaciavet,Drop these Animals now,,2,?,1,
11,The Gateway Pundit,“We Hope the B*tch Dies!” – BLM Chants Against 31-Year-Old LA Police Officer and…,['2020/09'],405 comments,https://www.thegatewaypundit.com/2020/09/hope-btch-dies-blm-chants-31-year-old-la-police-officer-mother-ambushed-shot-head-try-breach-hospitalvideo/,Acaciavet,Draw down on thes ignorant Negros and they will scatter like roaches.,,0,0,1,
12,The Gateway Pundit,"Unhinged NPR Hack Reporter Josie Huang Flattened to Pavement, Cuffed and Arres…",['2020/09'],498 comments,https://www.thegatewaypundit.com/2020/09/unhinged-npr-hack-reporter-josie-huang-flattened-pavement-cuffed-arrested-rushed-police-outside-hospital-blocked-blm-mob/,Acaciavet,This folks is the main reason i hate Asian people,,1,2,1,
13,The Gateway Pundit,"""I Don't Fear Communists"" - Reporter Attacked by BLM Mob in Georgetown - Ph…",['2020/09'],230 comments,https://www.thegatewaypundit.com/2020/09/dont-fear-communists-reporter-attacked-blm-mob-georgetown-physically-assaulted-video/,Acaciavet,BLM punk would crap his pants when a real man grabs him by the throat and says smile,,3,?,2,
14,The Gateway Pundit,SICK. Oprah Winfrey's Book of the Month Compares the US to India's Caste System…,['2020/09'],520 comments,https://www.thegatewaypundit.com/2020/09/sick-oprah-winfreys-book-month-compares-us-indias-caste-system-nazi-germany/,Acaciavet,She is one of the dumb negros we all hear about. Now Gayle King called her snatchh is ready,,0,0,1,
15,The Gateway Pundit,Police Officer Injured in Rochester as They Attempted to Disperse Black Lives Matte…,['2020/09'],93 comments,https://www.thegatewaypundit.com/2020/09/police-officer-injured-rochester-attempted-disperse-black-lives-matter-rioters-video/,Acaciavet,Such intelegent primates!,,1,?,1,
16,The Gateway Pundit,VIDEOS: Black Lives Matter Mob Swarms HOSPITAL Where Two Ambushed Officer…,['2020/09'],371 comments,https://www.thegatewaypundit.com/2020/09/videos-black-lives-matter-mob-swarms-hospital-two-ambushed-officers-treated-threaten-police-scene-saying-next/,Acaciavet,Becuase our Gubment has no ballss! Fid and killll the bastardssss,,1,?,1,
17,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],838 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,Acaciavet,Arrest and a trip to gitmo. Or shoot on site,,1,?,1,
18,The Gateway Pundit,NOT CLIMATE CHANGE: Oregon Law Enforcement on Video Talking about Poli…,['2020/09'],165 comments,https://www.thegatewaypundit.com/2020/09/not-climate-change-oregon-law-enforcement-video-talking-political-arsonists-area/,Acaciavet,I guarantee I will.,SoCal Conservative 4 ✓ᵀᴿᵁᴹᴾ,0,0,0,
19,The Gateway Pundit,VIDEO: Black Woman Refuses To Move For White Flight Attendant…Shouts In Face…,['2020/09'],2072 comments,https://www.thegatewaypundit.com/2020/09/video-black-woman-refuses-move-white-flight-attendantshouts-face-passenger-wake-2020-dont-white-privilege/,Acaciavet,I listen to this uneducated black Foxtrot Uniform Charlie Kilo and I realize I will always have privilege over  of the dumb ones.,,2,?,1,
20,The Gateway Pundit,"Crackpot Dr. Fauci Calls for Economic Lockdowns Until ""At Least the End of Wi…",['2020/09'],348 comments,https://www.thegatewaypundit.com/2020/09/crackpot-dr-fauci-calls-economic-lockdowns-least-end-winter-guy-keep-job/,Acaciavet,Screw Dr Mengela,,1,?,2,
21,The Gateway Pundit,Gaige Grosskreutz Was Shot in the Arm in Kenosha Carrying a Gun - He Claimed He…,['2020/09'],301 comments,https://www.thegatewaypundit.com/2020/09/gaige-grosskreutz-shot-arm-kenosha-carrying-gun-claimed-nothing-wrong-evidence-indicates-not-case/,Acaciavet,Trust me this is deadman walking.If he does not get it in the street he will buy the farm in prision,,1,?,2,
22,The Gateway Pundit,NOT CLIMATE CHANGE: Oregon Law Enforcement on Video Talking about Poli…,['2020/09'],165 comments,https://www.thegatewaypundit.com/2020/09/not-climate-change-oregon-law-enforcement-video-talking-political-arsonists-area/,Acaciavet,If you are in the woods and you see a freak starting a fire and you are armed. Shoot the clown and walk away no cameras to catch you!,,18,?,2,
23,The Gateway Pundit,"Chiefs Fans Boo as Players From Both Teams Link Arms in ""Moment of Unity"" a…",['2020/09'],549 comments,https://www.thegatewaypundit.com/2020/09/chiefs-fans-boo-players-teams-link-arms-moment-unity-call-social-justice-game-starts-video/,Acaciavet,Foxtrpt Uniform Charlie Kilo your unity,,0,0,2,
24,The Gateway Pundit,Report: Far Left Groups Secretly Organize and Prepare for MASS VIOLENCE After Jo…,['2020/09'],490 comments,https://www.thegatewaypundit.com/2020/09/report-far-left-groups-secretly-organize-prepare-mass-violence-joe-biden-loses-november/,Acaciavet,My 308 is zeroed at 500 yards. I will drop any one of these prks I see.Oh Left wing Foxtrot Uniform Charlie Kilo idiots I guess the right wing groups like the NRA and Ira will have to do some seriouse elimanation drills.,,0,0,1,
25,The Gateway Pundit,Report: Far Left Groups Secretly Organize and Prepare for MASS VIOLENCE After Jo…,['2020/09'],490 comments,https://www.thegatewaypundit.com/2020/09/report-far-left-groups-secretly-organize-prepare-mass-violence-joe-biden-loses-november/,Acaciavet,Bring iy you prks I have my 308 zeroed at 500 yards i will blow your heads off befor eyou can say ANTIFA,,14,?,1,
26,The Gateway Pundit,JUST IN: Dallas Police Chief Announces She will Resign November 10,['2020/09'],412 comments,https://www.thegatewaypundit.com/2020/09/just-dallas-police-chief-announces-will-resign-november-10/,Acaciavet,Goes to prove the black experiment failed.,,3,?,1,
27,The Gateway Pundit,"""F**k the Woman who Posted It - I'm Here to Disrupt"" - BLM Protester Responds Aft…",['2020/09'],333 comments,https://www.thegatewaypundit.com/2020/09/fk-woman-posted-disrupt-blm-protester-responds-assaulting-diners-video-pittsburgh-restaurant/,Acaciavet,Lets give this clown a 180grain Lobotomy,,5,?,1,
28,The Gateway Pundit,Rochester Mayor Brings in Church Elders to Act as Human Shields During Black Lives…,['2020/09'],419 comments,https://www.thegatewaypundit.com/2020/09/rochester-mayor-brings-church-elders-act-human-shields-black-lives-matter-protest/,Acaciavet,You vote for a Black Charlie Uniform November Tango and this is waht you get!,curly moe,2,1,2,
29,The Gateway Pundit,‘F*ck White People!’ – BLM-Biden Supporters Scream at Elderly Couple Din…,['2020/09'],2085 comments,https://www.thegatewaypundit.com/2020/09/fck-white-people-blm-biden-supporters-scream-elderly-couple-dining-outdoors-pittsburgh-steal-drinks-off-table-video/,Acaciavet,"You are correct,I see them in my Area every day not bothering anyone. The ones being clownas are The N folks kind of like us we have white trash!",spectral 69,11,?,2,
30,The Gateway Pundit,EXCLUSIVE: Author of BLM Book “In Defense of Looting” Is An Occupy Wall St…,['2020/09'],266 comments,https://www.thegatewaypundit.com/2020/09/exclusive-author-blm-book-defense-looting-occupy-wall-street-transgender-connections-nytimes-china-obama/,Acaciavet,Super freak,,2,?,2,
31,The Gateway Pundit,Retired Teacher Under Investigation by Capitol Police After Threatening to Shoot…,['2020/09'],456 comments,https://www.thegatewaypundit.com/2020/09/retired-teacher-investigation-capitol-police-threatening-shoot-gop-rep-paul-gosar-head/,Acaciavet,Arrest this wrinkled Charlie Uniform November Tango now,,1,?,2,
32,The Gateway Pundit,"REPORT: Man Who Attempted to Kill Trump Supporter Still at Large, May Be Member…",['2020/09'],98 comments,https://www.thegatewaypundit.com/2020/09/report-man-attempted-kill-trump-supporter-still-large-may-member-mongols-motorcycle-club/,Acaciavet,This club does not Admit Gar Pikes,,0,0,0,
33,The Gateway Pundit,BREAKING EXCLUSIVE: BLM Activist Who Attempted to Kill Conservative After Me…,['2020/09'],424 comments,https://www.thegatewaypundit.com/2020/09/breaking-exclusive-blm-activist-attempted-kill-conservative-memorial-murdered-trump-supporter-identified/,Acaciavet,Find this Black Foxtrot Uniform Charlie Kilo and lynch the Animal,,4,?,1,
34,The Gateway Pundit,Democrats and Never-Trump Make Plans for November Coup if/When President Tr…,['2020/09'],712 comments,https://www.thegatewaypundit.com/2020/09/democrats-never-trump-make-plans-november-coup-president-trump-wins-election/,Acaciavet,Devil dog I am ready to start sending em down range. I have had it with the democrat cork ssoakers,USMCDanang1966,0,0,2,
35,The Gateway Pundit,"Wealthy NYC College Student Arrested at BLM Riots After Causing ""$100,000 in Da…",['2020/09'],750 comments,https://www.thegatewaypundit.com/2020/09/wealthy-nyc-college-student-arrested-blm-riots-causing-100000-damages-manhattan-businesses/,Acaciavet,"Her facebook page is blank. She will be tender meat for Big Alice,Just like licking a new Ice Cream cone",,0,0,2,
36,The Gateway Pundit,"Teachers' Union Refuses to Go Back to School -- But Attended Sharpton's 50,00…",['2020/09'],276 comments,https://www.thegatewaypundit.com/2020/09/teachers-union-refuses-go-back-school-attended-sharptons-50000-race-get-off-necks-rally-dc/,Acaciavet,I dont explain things to a fool with an Antifa profile,(M)16(G)19 Project,0,0,2,
37,The Gateway Pundit,"Teachers' Union Refuses to Go Back to School -- But Attended Sharpton's 50,00…",['2020/09'],276 comments,https://www.thegatewaypundit.com/2020/09/teachers-union-refuses-go-back-school-attended-sharptons-50000-race-get-off-necks-rally-dc/,Acaciavet,Dont pay your school tax,,3,?,0,
38,The Gateway Pundit,EXCLUSIVE: Militant Leftist Attempts to Kill Conservative Activist After Memorial for…,['2020/09'],979 comments,https://www.thegatewaypundit.com/2020/09/exclusive-militant-leftist-attempts-kill-conservative-activist-memorial-trump-supporter-murdered-portland-antifa-videos/,Acaciavet,I for one am getting sick of these fried chicken eating clowns,,2,?,1,
39,The Gateway Pundit,It Begins... Black Lives Matter Rioters Start Climbing on People's Homes in Rocheste…,['2020/09'],571 comments,https://www.thegatewaypundit.com/2020/09/begins-black-lives-matter-rioters-start-climbing-peoples-homes-rochester-video/,Acaciavet,Who is the Charlie Unifrom November Tango mayor?  Oh Yes Lovely Warren,,1,?,2,
40,The Gateway Pundit,NEW WORLD ORDER: Australia Begins Arresting Citizens Posting Non-Approved…,['2020/09'],283 comments,https://www.thegatewaypundit.com/2020/09/new-world-order-australia-begins-arresting-citizens-posting-non-approved-covid-talking-points-ohio-passes-order-create-corona-shelters-dr-fauci-claims-sky-falling/,Acaciavet,The cleaners called your dress is ready!,Mr. Objective,1,?,0,
41,The Gateway Pundit,FIRST PHOTOS AND VIDEO: Antifa Killer Michael Reinoehl Shot Dead in Washingt…,['2020/09'],1539 comments,https://www.thegatewaypundit.com/2020/09/first-photos-video-antifa-killer-michael-reinoehl-shot-dead-washington-state-us-marshals-attempt-revive/,Acaciavet,Another Dead Prk Antifa sucks,,0,0,2,
42,The Gateway Pundit,GOING VIRAL: Washington State Patrol Rips Black Lives Matter Militant Out of V…,['2020/09'],1637 comments,https://www.thegatewaypundit.com/2020/09/going-viral-washington-state-patrol-rips-black-lives-matter-militant-vehicle-illegally-blocking-traffic-highway-video/,Acaciavet,Ya have to love the American Primate,,0,0,1,
43,The Gateway Pundit,"Crazy San Francisco Mayor London Breed Blames ""Dictator"" Trump for Pelosi Brea…",['2020/09'],377 comments,https://www.thegatewaypundit.com/2020/09/crazy-san-francisco-mayor-london-breed-blames-dictator-trump-pelosi-breaking-rules-getting-salon-blow-video/,Acaciavet,Is this Charlie Uniform November Tango Black or Asian?,,1,?,2,
44,The Gateway Pundit,FIRST PHOTOS AND VIDEO: Antifa Killer Michael Reinoehl Shot Dead in Washingt…,['2020/09'],1539 comments,https://www.thegatewaypundit.com/2020/09/first-photos-video-antifa-killer-michael-reinoehl-shot-dead-washington-state-us-marshals-attempt-revive/,Acaciavet,Rott in Hellll you Antifa Prk,,4,?,1,
45,The Gateway Pundit,Peaceful Protest: Black Lives Matter Activist from Indiana Charged with 19 Fe…,['2020/09'],300 comments,https://www.thegatewaypundit.com/2020/09/peaceful-protest-black-lives-matter-activist-indiana-charged-19-felonies-attacking-gassing-police-san-diego/,Acaciavet,Lynch this Mofo now,,2,?,1,
46,The Gateway Pundit,Black Lives Matter Mob Protests at DC Mayor Muriel Bowser’s Home After Midni…,['2020/09'],402 comments,https://www.thegatewaypundit.com/2020/09/black-lives-matter-mob-protests-dc-mayor-muriel-bowsers-home-midnight/,Acaciavet,Man the head primate giong to be mad,,0,0,1,
47,The Gateway Pundit,"UPDATE: Pelosi Says She was ""Tricked"" and Salon Visit was a ""Set-up"" -- Deman…",['2020/09'],909 comments,https://www.thegatewaypundit.com/2020/09/update-pelosi-says-tricked-salon-visit-set-demands-apology-salon-lawlessness/,Acaciavet,I do hate this Charlie Uniform November Tango,,3,?,1,
48,The Gateway Pundit,St. Louis Man Opens Fire After Being Asked to Leave Family Dollar for Not Wearing a…,['2020/09'],374 comments,https://www.thegatewaypundit.com/2020/09/st-louis-man-opens-fire-asked-leave-family-dollar-not-wearing-mask/,Acaciavet,Those colored folk at it again,,0,0,2,
49,The Gateway Pundit,"Pelosi Confirms She Got Hair Done Indoors at San Francisco Salon, Says She Didn’t T…",['2020/09'],468 comments,https://www.thegatewaypundit.com/2020/09/pelosi-confirms-got-hair-done-indoors-san-francisco-salon-says-didnt-think-anything-wrong/,Acaciavet,I pray eevery night the cancer fairy finds her!,,0,0,2,
50,The Gateway Pundit,DeBlasio’s NYC: Suspect Arrested for Attempted Rape of Woman on Manhatta…,['2020/09'],279 comments,https://www.thegatewaypundit.com/2020/09/deblasios-nyc-suspect-arrested-attempted-rape-woman-manhattan-subway-platform-11-sunday-morning/,Acaciavet,Another Low IQ black one i see,,0,0,1,
51,The Gateway Pundit,De Blasio’s NYC: Manhattan Judge Cold-Cocked in Broad Daylight by Cyclist Whil…,['2020/08'],471 comments,https://www.thegatewaypundit.com/2020/08/de-blasios-nyc-manhattan-judge-cold-cocked-broad-daylight-cyclist-walking-work/,Acaciavet,Ilove it!,,0,0,0,
52,The Gateway Pundit,CNN Reporter Demands President Trump Come Back and Answer Her Question as…,['2020/08'],465 comments,https://www.thegatewaypundit.com/2020/08/cnn-reporter-demands-president-trump-come-back-answer-question-leaves-briefing-room-video/,Acaciavet,Collins needs a good ganger from about 20 BLM studs,,1,?,2,
53,The Gateway Pundit,REVOLT! Oregon Sheriffs Defy Order by Liberal Governor to Send Deputies to Por…,['2020/08'],909 comments,https://www.thegatewaypundit.com/2020/08/revolt-oregon-sheriffs-defy-order-liberal-governor-send-deputies-portland-attacked-protesters-harassed-courts/,Acaciavet,You elect a left wing Charlie Uniform November Tango and this is what you get,,5,?,2,
54,The Gateway Pundit,"Portland Rioters Smash Into Mayor's Condo Building, Try To Set It Ablaze",['2020/09'],570 comments,https://www.thegatewaypundit.com/2020/09/portland-rioters-smash-mayors-condo-building-try-set-ablaze/,Acaciavet,Untill the PD respond with live rounds and we send these punks to a prision camp this wont stop,,1,?,2,
55,The Gateway Pundit,"Will Twitter and CNN Attack and Take Down FOX, ABC and CBS Articles on COVI…",['2020/09'],170 comments,https://www.thegatewaypundit.com/2020/09/will-twitter-facebook-cnn-attack-take-fox-abc-articles-covid-19-mirrored-accurate-report-retweeted-president-trump/,Acaciavet,"This was on my Fake book this morning i shared the CDC yesterdayFalse information found in your postIndependent fact-checkers at AFP United States and Science Feedback say that information in your post is partly false. To stop the spread of false news, we've added a notice to your post.You can take a look at additional reporting from independent fact-checkers who investigate reports of false information across Facebook",,2,?,2,?
56,The Gateway Pundit,De Blasio’s NYC: Manhattan Judge Cold-Cocked in Broad Daylight by Cyclist Whil…,['2020/08'],471 comments,https://www.thegatewaypundit.com/2020/08/de-blasios-nyc-manhattan-judge-cold-cocked-broad-daylight-cyclist-walking-work/,Acaciavet,Asian and a Judge for Deblosiso .Give the guy a medal,,1,?,0,
57,The Gateway Pundit,MEDIA BLACKOUT: “White Lives Don’t Matter” – Black Man Randomly Attacks…,['2020/08'],647 comments,https://www.thegatewaypundit.com/2020/08/media-blackout-white-lives-dont-matter-black-man-randomly-attacks-white-man-brick-baltimore-video/,Acaciavet,Screw these fried chicken eating Foxtrot Alpha Golf black folk,,1,?,1,
58,The Gateway Pundit,Antifa Killer of Trump Supporter in Portland Was Arrested in June Drag Raci…,['2020/08'],296 comments,https://www.thegatewaypundit.com/2020/08/antifa-killer-trump-supporter-portland-arrested-june-drag-racing-son-drunk-arrested-last-month-gun-charges-dropped/,Acaciavet,Bring him in dead or alive,,1,?,1,
59,The Gateway Pundit,St. Louis Police Officer Tamarris Bohannon Dies from Gunshot Wound to the Head Af…,['2020/08'],226 comments,https://www.thegatewaypundit.com/2020/08/st-louis-police-officer-tamarris-bohannon-dies-gunshot-wound-head-responding-shooting-call-saturday-blackpolicelivesmatter/,Acaciavet,Black Hero shot by white asshat. Hand Salute officer and thank you,,2,?,2,
60,The Gateway Pundit,Shots Reported Fired at Trump Caravan in Los Angeles; No Injuries,['2020/08'],327 comments,https://www.thegatewaypundit.com/2020/08/shots-reported-fired-trump-caravan-los-angeles-no-injuries/,Acaciavet,You know the shooters are Primates right?,,0,0,1,
61,The Gateway Pundit,"Biden Accuses President Trump of ""Recklessly Encouraging Violence"" in St…",['2020/08'],381 comments,https://www.thegatewaypundit.com/2020/08/biden-accuses-president-trump-recklessly-encouraging-violence-statement-deadly-portland-riot-shooting/,Acaciavet,I would not Bang her with Bernie Sanders Cork,LauraZib,1,?,2,
62,The Gateway Pundit,"Biden Accuses President Trump of ""Recklessly Encouraging Violence"" in St…",['2020/08'],381 comments,https://www.thegatewaypundit.com/2020/08/biden-accuses-president-trump-recklessly-encouraging-violence-statement-deadly-portland-riot-shooting/,Acaciavet,Blo me you senile Foxtrot Uniform Charlie Kilo,,0,0,2,
63,The Gateway Pundit,“We Don’t Want Your Help” – Idiot Portland Mayor Wheeler Sends Presiden…,['2020/08'],574 comments,https://www.thegatewaypundit.com/2020/08/dont-want-help-idiot-portland-mayor-wheeler-sends-president-trump-nasty-letter-refusing-assistance-breaks-lose-city/,Acaciavet,I just listened to this clowns press conference. He blamed Trump for it all. He is trying to get points he knows his days are numbered!,,2,?,2,
64,The Gateway Pundit,Antifa and Black Lives Matter March Through Oakland Chanting ‘Death to Am…,['2020/08'],389 comments,https://www.thegatewaypundit.com/2020/08/antifa-black-lives-matter-march-oakland-chanting-death-america/,Acaciavet,I am all in for killing the bassterds,,1,?,1,
65,The Gateway Pundit,4Chan Users Appear to Have Identified Portland Rioter Who Shot and Killed Tru…,['2020/08'],1342 comments,https://www.thegatewaypundit.com/2020/08/4chan-users-appear-identified-portland-rioter-shot-killed-trump-supporter/,Acaciavet,Find this Prikk and bring him in face down,,7,?,2,
66,The Gateway Pundit,"SHOCK REPORT: This Week CDC Quietly Updated COVID-19 Numbers - Only 9,210…",['2020/08'],1539 comments,https://www.thegatewaypundit.com/2020/08/shock-report-week-cdc-quietly-updated-covid-19-numbers-9210-americans-died-covid-19-alone-rest-serious-illnesses/,Acaciavet,Well Well who would have thought,,1,?,0,
67,The Gateway Pundit,Motorcycle Club Crashes Black Lives Matter Street Protest in Florida – Starts…,['2020/08'],589 comments,https://www.thegatewaypundit.com/2020/08/motorcycle-club-crashes-black-lives-matter-street-protest-florida-starts-chanting-usa-usa-video/,Acaciavet,The BLM doesnt understand there are millions of folks like this ready to kick assss and take names.,,10,?,2,
68,The Gateway Pundit,BREAKING EXCLUSIVE: Kenosha Shooting Victim 'Jo Jo Rosenbaum' Was Involved i…,['2020/08'],577 comments,https://www.thegatewaypundit.com/2020/08/breaking-exclusive-kenosha-shooting-victim-jo-jo-rosenbaum-involved-least-one-altercation-shot-dead-tuesday-night/,Acaciavet,JO Jo is Nomo,,5,?,0,
69,The Gateway Pundit,"""We About to Go Get that MotherF***er! - It's Time for Revolution!"" - VIDEO - BLM…",['2020/08'],1142 comments,https://www.thegatewaypundit.com/2020/08/go-get-motherfer-time-revolution-video-blm-threatens-rip-president-trump-white-house/,Acaciavet,I am so sick of that gay coone fist.,,0,0,1,
70,Gregg Jarrett,No More Mister Nice Guy: Head Of NY Police Union Gives de Blasio Until ‘Sundown’ T…,[],50 comments,https://thegreggjarrett.com/no-more-mister-nice-guy-head-of-ny-police-union-gives-de-blasio-until-sundown-to-resign/,Acaciavet,This guy is a Clown that loves that Black asss,,13,?,2,
71,The Gateway Pundit,National Media Ignores Two Black Lives Matter Inspired Hate Crimes Against Whi…,['2020/08'],165 comments,https://www.thegatewaypundit.com/2020/08/national-media-ignores-two-black-lives-matter-inspired-hate-crimes-white-men-one-day/,Acaciavet,Look at those anthropoids and tell me God did not have a sense of humor when het put those parts togeather!,,0,0,2,?
72,The Gateway Pundit,And There It Is… NBA Agrees to Continue Playoffs But Only If Ads During Games Pr…,['2020/08'],717 comments,https://www.thegatewaypundit.com/2020/08/nba-agrees-continue-playoffs-ads-games-promote-leftist-politics-civic-engagement/,Acaciavet,Foxtrot Uniform Charlie Kilo the NBA!  Bassett ball sucks just axe dem,,0,0,2,?
73,The Gateway Pundit,Girlfriend Says Man Who Chased Kyle Rittenhouse Down the Street and Bashe…,['2020/08'],622 comments,https://www.thegatewaypundit.com/2020/08/girlfriend-says-man-chased-kyle-rittenhouse-street-bashed-head-skateboard-heroic-thing/,Acaciavet,Two less asshats breathing my free Air,,3,?,1,?
74,The Gateway Pundit,"Media Blackout: White College Student, Stepfather Shot to Death on Their Front…",['2020/08'],439 comments,https://www.thegatewaypundit.com/2020/08/media-blackout-white-college-student-stepfather-shot-death-front-lawn-fender-bender/,Acaciavet,I am getting real tired of these stupid Primates,,0,0,1,
75,The Gateway Pundit,'CONFRONTED'!? Rand Paul’s Wife Scolds Politico For Downplaying 'Hateful Mob’…,['2020/08'],108 comments,https://www.thegatewaypundit.com/2020/08/confronted-rand-pauls-wife-scolds-politico-downplaying-hateful-mob-outside-white-house/,Acaciavet,Screw those fried Chicken eating Melon chuckers,,0,0,1,
76,The Gateway Pundit,Black Lives Matter Mob Attacks #WalkAway Founder Brandon Straka after RNC -- Hur…,['2020/08'],320 comments,https://www.thegatewaypundit.com/2020/08/black-lives-matter-mob-attacks-walkaway-founder-brandon-straka-rnc-hurl-cup-rush-call-friend-fggots/,Acaciavet,MENSA Negros cant string two words togeather.Fried Chicken eating idiots,,0,0,1,
77,The Gateway Pundit,Kamala Harris Speaks on Biden's Behalf in Cringeworthy Speech - Then Flees Podiu…,['2020/08'],573 comments,https://www.thegatewaypundit.com/2020/08/kamala-harris-speaks-bidens-behalf-cringeworthy-speech-flees-podium-refuses-answer-questions-reporters-video/,Acaciavet,Such A Charlie Uniform November Tango.Oh willie said she gives great head,,0,0,2,
78,The Gateway Pundit,Black Man Arrested for Hate Crime After Stabbing White Man While Screaming ‘Bl…,['2020/08'],318 comments,https://www.thegatewaypundit.com/2020/08/black-man-arrested-hate-crime-stabbing-white-man-screaming-black-lives-matter/,Acaciavet,Lynch the black Foxtrot Unifor Charlie Kilo now,,2,?,1,
79,The Gateway Pundit,BREAKING: Feds Swoop In and Arrest Riot Kitchen Food Service for Street Mob in K…,['2020/08'],708 comments,https://www.thegatewaypundit.com/2020/08/breaking-feds-swoop-arrest-riot-kitchen-food-service-street-mob-kenosha/,Acaciavet,The Negro broad doing the play by play has like  A 2nd grade command of the Kings english!,,5,?,1,
80,The Gateway Pundit,Michigan Democrat Governor Gretchen Whitmer 'Glad' Big Ten Football Is Cance…,['2020/08'],305 comments,https://www.thegatewaypundit.com/2020/08/michigan-democrat-governor-gretchen-whitmer-glad-big-ten-football-cancelled-worked-shut/,Acaciavet,This is what you get when you elect a Charlie Uniform November Tango,,3,?,2,
81,The Gateway Pundit,SICK. Vicious PBS Reporter Yamiche Alcindor Attacks Paralyzed GOP Candida…,['2020/08'],301 comments,https://www.thegatewaypundit.com/2020/08/sick-vicious-pbs-reporter-yamiche-alcindor-attacks-paralyzed-gop-candidate-madison-cawthorn-stands-wheelchair/,Acaciavet,I am so Tired of this Fat Fried Chicken eating affirmative action Negro,,1,?,1,
