,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Responding to,Upvotes,Downvotes,Ordinary/Hate/Offensive?,
12,Vidmax,You've Heard About The Controversial Netflix Show Cuties....Oh It's Far More E…,[],69 comments,https://vidmax.com/video/198273-you-ve-heard-about-the-controversial-netflix-show-cuties-oh-it-s-far-more-epstein-than-you-imagine,Feel Lucky?,Throw in early drug use and they are imbeciles dependant on others or do violent stupid and often ruthless crimes to fuel a need they can neither control nor understand.Piggy Wiggy has aunt grand ma and uncle daddy to pay for his dope.,RW,0,0,2,
13,Vidmax,Heartbreaking Video Of LA Sheriff Who Was Shot Through The Face Applying Tourniq…,[],10 comments,https://vidmax.com/video/198336-heartbreaking-video-of-la-sheriff-who-was-shot-through-the-face-applying-tourniquet-to-her-partner,Feel Lucky?,"She didn't you piece of shit.She got him to safety so no other worthless moon crickets could fire on them and they survived to fight another day.Others would if shot by whites claim permanent disability,sue,cry racism and act the fool.All y'all perfected is crying at being called a n i g g e r by us,the sucker punch and the dog pile.Whites invented or perfected almost everything in this world.It's our own fault for inventing the technology you use to infect the world with your cancer and you can bet when your cancer gets the best of you it'll be our cure that saves your worthless ass.After Trump is re-elected the blacks and their SJW lackeys had better get their minds right cuz the gloves are coming off and the bill y'all racked up is gonna come out of y'alls asses,believe that.Fuck you",Wigga Pigga Mockery,3,?,1,
14,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,Badge of honor sir.Now if they find a body in his trunk he could be a senator or Supreme Court judge.If it's dead he's a lock for the White House.,TheMOSTvettedPrezinHistory,0,0,2,
15,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,"Surprised it sat for 7 hours.Was like finding an an Easter egg that no one had spied yet.Hank must truly be one of the most ignorant,low I.Q. members ever to my mind which would be sad but Stacy Abrams-Tank is giving him a run for his chitlins.Nice to see you Calvin.Peace",Calvin Davis,0,0,2,
16,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,NiceIronic his name was John? hee hee,John Truman,0,0,0,
17,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,Or Political Perverts Monthly that's only produced bi-annually.President Donald J.Trump is a known heterosexual.KAG TRUMP NOVEMBER 2020,CST,1,?,2,
18,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,Nick is one of those Jonas brothers yeah?Is Priyanka Chopra the daughter of Deepak Chopra?I have read Deepaks writings.Very smart man.Peace,Christine mann,0,0,0,
19,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,"Hawaii,same place as the Obamas.Kids-R-Us....BOGO sale thru Labor Day only.",Christine mann,0,0,0,
20,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,"With Hank Johnson?They could rock the island back and forth ,giggling like schoolgirls and comparing johnsons.",Calvin Davis,0,0,2,
21,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,Just-us vs Justice,HalfPint74,0,0,0,
22,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,left handed moon crickets in the ghetto or just outright queer in most neighborhoods.crotch crickets are but one of the things they spread.,Besamel Bestia,1,?,1,
23,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,"OAC,Stacy Abrams,Ilhan Omar,Betelguise Lightfoot,Kim Foxx,Kimberly Gardner,Rashida Tlaib and Ayanna Pressley not only just broke my spell check but all attended that Soros School of Marxist Tools and Agents Provocateur.Money is no object for Uncle George's children of the corn.Freaks all and no corruption too deep or decision too over the top as like Gillum,they cannot be called out as they're the elite tho we have White Privledge.Deflection,accusing others of what you yourself are guilty of are all Alinskyite tactics and impervious to those brought up to play by the rules and treating others the way you want to be treated and humility .....all foreign to these freaks and criminals.Justice vs Just-us.It's all a dastardly near perfect plan.",Contra1,2,?,2,
24,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,"No ma'amAlmost wrote rental kids a la the Ozero ""Fambly"".My folks used to tell us they found me under a rock and my sister up in a tree but these kids were found in a Motel 6 and exchanged for cash and or drugs and probably a sexual favor and photographs taken surreptitiously for blackmail purposes down the road.I know nothing of tradecraft or wet work,I simply have an overactive imagination.Poor Larry Sinclair should have done the same in his dealings with Bad Barry as I doubt he was too happy he soon met his own hit and run driver who like Seth Rich's killer was never found despite cameras everywhere.It's almost as if there's a cabal of nearly omnipotent legislators and civil servants running their own mafia like organisation.",WisewomanIV,2,?,0,
25,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,"He's a gay,black man.He may as well be Teflon as he's considered untouchable in this SJW world.If it were you or I we'd first be castigated and then castrated.",The Mirror,1,?,2,
26,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,"As Ed is openly gay,he loves him some  black maleAdam would be prone to blackmail if pictures of him and a black male appeared of him prone and in arrears.",Jack,1,?,2,
27,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,ha ha haHis boy toy never left left Gillum roses in a vase but he did put tulips on his organ.,Sandra Rou Weber,0,0,2,
28,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,Bad pick-up line in a gay bar.May I push your stool in?,Jack,2,?,0,
29,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,"I bet he's great at blowing up balloons at his childrens birthday party's.What a sick man this ""guy"" is.Not unlike Barry and Big Mike for sure.Sick and depraved seems to be the liberal way.Totally disgusting.",Contra1,2,?,2,
30,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,The fact he brought this home to his wife and kids makes him a real piece of crap in my eyes.To other libs he's probably some kind of hero and brave for coming out.,LeAnn Slimes,4,?,2,
31,The Gateway Pundit,Top Florida Democrat Comes Out as Bisexual After Being Caught Naked and P…,['2020/09'],431 comments,https://www.thegatewaypundit.com/2020/09/top-florida-democrat-comes-bisexual-caught-naked-passed-vomit-muscle-hustler/,Feel Lucky?,Sad he dragged a wife and children into his immoral and sick way of life.How stupid must one be to not realize you're a queer til you're 40 years old.We dodged a bullet here in Florida and the fact it was even close is terrifying.KAG TRUMP NOVEMBER 2020,Doc Farmer☑️ᶜᵒᵛᶠᵉᶠᵉᵈᵉᵖˡᵒʳᵃᵇˡᵉ,1,?,2,
32,Vidmax,Un homme avec 3 DUI se fait prendre en train de chevaucher une tondeuse à gazo…,[],5 comments,https://vidmax.com/video/197656-man-with-3-duis-gets-busted-riding-a-lawn-mower-drunk,Feel Lucky?,"""Possum"" rode his mower to the bar a few times and got caught too.He could be a mean drunk but what a voice.Miss ya George.Paul was a sweetheart tho.I like french fried taters unnnhnnI need an ambulance for Doyle Hargrave,I done caved his head in with a lawn mower blade.Bout took it clean off ma'am.",usairforce56,0,0,2,
33,Vidmax,SHOCK WARNING- 25 YO Mother Shows Off New Supra Moments Before Killing Herse…,[],83 comments,https://vidmax.com/video/198295-shock-warning-25-yo-mother-shows-off-new-supra-moments-before-killing-herself-and-passenger-in-brutal-crash,Feel Lucky?,It sounded like a vacuum when they revved the motor.,Stan Buie,0,0,0,
34,Vidmax,SHOCK WARNING- 25 YO Mother Shows Off New Supra Moments Before Killing Herse…,[],83 comments,https://vidmax.com/video/198295-shock-warning-25-yo-mother-shows-off-new-supra-moments-before-killing-herself-and-passenger-in-brutal-crash,Feel Lucky?,Atta boyYou are coolThanks for the upload...she fine.I'd take her temperature....Fuck 'em,Gabe,1,?,2,
35,Vidmax,SHOCK WARNING- 25 YO Mother Shows Off New Supra Moments Before Killing Herse…,[],83 comments,https://vidmax.com/video/198295-shock-warning-25-yo-mother-shows-off-new-supra-moments-before-killing-herself-and-passenger-in-brutal-crash,Feel Lucky?,I'm 58I'm no fooking geriatric...yet bro.Relax man.,Gabe,1,?,0,
36,Vidmax,SHOCK WARNING- 25 YO Mother Shows Off New Supra Moments Before Killing Herse…,[],83 comments,https://vidmax.com/video/198295-shock-warning-25-yo-mother-shows-off-new-supra-moments-before-killing-herself-and-passenger-in-brutal-crash,Feel Lucky?,Si correcto senor.,yeticon,0,0,0,
37,Vidmax,SHOCK WARNING- 25 YO Mother Shows Off New Supra Moments Before Killing Herse…,[],83 comments,https://vidmax.com/video/198295-shock-warning-25-yo-mother-shows-off-new-supra-moments-before-killing-herself-and-passenger-in-brutal-crash,Feel Lucky?,Dr.House giving a differential diagnosis.,clendenon,0,0,0,
38,Vidmax,SHOCK WARNING- 25 YO Mother Shows Off New Supra Moments Before Killing Herse…,[],83 comments,https://vidmax.com/video/198295-shock-warning-25-yo-mother-shows-off-new-supra-moments-before-killing-herself-and-passenger-in-brutal-crash,Feel Lucky?,"I'm a driver,I'm a winnerThings are gonna change,I can feel itOpen the door,I'm a loser baby so why don't you kill me",,0,0,0,
39,Vidmax,BLM Thugs Show Up At St. Francis Hospital To Celebrate The Attempted Assassinatio…,[],49 comments,https://vidmax.com/video/198308-blm-thugs-show-up-at-st-francis-hospital-to-celebrate-the-attempted-assassination-of-two-lapd-officers-fighting-for-their-lives,Feel Lucky?,Already beenReady to go againTRUMP 2020,Wize N Witty,0,0,0,
40,Vidmax,Protester Blocks Entrance Of Slaughterhouse...This Truck Driver's Rea…,[],31 comments,https://vidmax.com/video/198332-protester-blocks-entrance-of-slaughterhouse-this-truck-driver-s-reaction-is-priceless,Feel Lucky?,Honk if you love Jesus....and hate BLM,,9,?,2,
41,Vidmax,BLM Agitator Gets Shot Right In The Nuts During Rioting In Lancaster,[],34 comments,https://vidmax.com/video/198330-blm-agitator-gets-shot-right-in-the-nuts-during-rioting-in-lancaster,Feel Lucky?,Deez nutzNot a fookin' thing.ha ha,Rateye,3,?,0,
42,Vidmax,"BLM And ANTIFA Show Up in Force In Lancaster, Brick The Post Office, Police S…",[],27 comments,https://vidmax.com/video/198324-blm-and-antifa-show-up-in-force-in-lancaster-brick-the-post-office-police-station-and-cars-light-police-cruiser-on-fire,Feel Lucky?,Trump will soon sign the Insurrection Act.,Charlie,1,?,2,
43,Vidmax,"BLM And ANTIFA Show Up in Force In Lancaster, Brick The Post Office, Police S…",[],27 comments,https://vidmax.com/video/198324-blm-and-antifa-show-up-in-force-in-lancaster-brick-the-post-office-police-station-and-cars-light-police-cruiser-on-fire,Feel Lucky?,Flo Jo,Rateye,1,?,0,
44,Vidmax,"BLM Protester RUN OVER HARD in Johnson City, Tenn",[],57 comments,https://vidmax.com/video/198325-blm-protester-run-over-hard-in-johnson-city-tenn,Feel Lucky?,He was Found On Road Dead,James Tran,11,?,0,
45,Vidmax,Annoying AF Hoodrat Harasses Police After Two Cop Were Assassinated In Los Angeles,[],7 comments,https://vidmax.com/video/198320-annoying-af-hoodrat-harasses-police-after-two-cop-were-assassinated-in-los-angeles,Feel Lucky?,"""Police in L.A.is on high alert""",,1,?,0,
46,Vidmax,Man Is Seriously Injured By Car Doing Donuts During Illegal Sideshow In Sacra…,[],17 comments,https://vidmax.com/video/198322-man-is-seriously-injured-by-car-doing-donuts-during-illegal-sideshow-in-sacramento,Feel Lucky?,What's left of his brains shot out his asshole.Pigga know how that feels.,George Penwell,3,?,1,
47,Vidmax,BLM Thugs Show Up At St. Francis Hospital To Celebrate The Attempted Assassinatio…,[],49 comments,https://vidmax.com/video/198308-blm-thugs-show-up-at-st-francis-hospital-to-celebrate-the-attempted-assassination-of-two-lapd-officers-fighting-for-their-lives,Feel Lucky?,"I thought it was ""Buck Naked"".",Just another ni..black person.,0,0,0,
48,Vidmax,BLM Thugs Show Up At St. Francis Hospital To Celebrate The Attempted Assassinatio…,[],49 comments,https://vidmax.com/video/198308-blm-thugs-show-up-at-st-francis-hospital-to-celebrate-the-attempted-assassination-of-two-lapd-officers-fighting-for-their-lives,Feel Lucky?,Right now we is laughing my ass off.,Rateye,0,0,0,
49,Vidmax,"Homies Filming A Rap Video With Loaded Guns Get Shut Down By Cops, Arrested",[],26 comments,https://vidmax.com/video/198301-homies-filming-a-rap-video-with-loaded-guns-get-shut-down-by-cops-arrested,Feel Lucky?,AyeNappy sods and wankers.Should have their bollocks yanked out by the roots tied between two trucks.Feral fookin gits.,jambalyabones,1,?,1,
50,Vidmax,Reich Down Under- Police Drag Woman From Her Car At COVID Checkpoint In Au…,[],46 comments,https://vidmax.com/video/198305-reich-down-under-police-drag-woman-from-her-car-at-covid-checkpoint-in-australia-for-a-charging-cell-phone,Feel Lucky?,"She's a screamer,I like that.Him,not so much.",,0,0,0,
51,Vidmax,Reich Down Under- Police Drag Woman From Her Car At COVID Checkpoint In Au…,[],46 comments,https://vidmax.com/video/198305-reich-down-under-police-drag-woman-from-her-car-at-covid-checkpoint-in-australia-for-a-charging-cell-phone,Feel Lucky?,"I dated the equivalent of a 3rd grade teacher in  London briefly years ago.Talked to her on the phone and she told me to ""come by about 8 and knock her up""I wanted to get laid but didn't want kids with her ffs.She simply meant to knock on the door about 8.Glad I didn't have my pants down and my junk out when she answered the door.I did get laid like a chicken egg but I'm only a tad smarter now.",Rateye,1,?,0,
52,Vidmax,ANTIFA Chick Learns About Gender Equality When She Punches Back The Bl…,[],100 comments,https://vidmax.com/video/197872-antifa-chick-learns-about-gender-equality-when-she-punches-back-the-blue-supporter-gets-ktfo,Feel Lucky?,"66 Charger440 magnum,factory headers,dual 650 Holley dbl.pumpers in red,mu bud Kelly had same but 318 w fastback.Liked his better,didn't hace to stop at every gas station ha haaaYeah,no news is good news....ignorance is bliss.I'll be ready to dance,I hot my shoes soooo.I just don't wanna miss something but ....yeah.God...thank you LordHe just brought me calm in that moment and I think you thought or wished  something my way.Thanks so much Charlie,you're a great man and friend.Hi to Cheyrl.Changing the oil filter on the Merc...woke from a dead sleep last week thinking it could be that....worth a shot.Davids here to help.Wush me luck.its getting a little desperate.but we can hang in therePeace brotherSemper Fi",c.brown,0,0,0,
53,Vidmax,ANTIFA Chick Learns About Gender Equality When She Punches Back The Bl…,[],100 comments,https://vidmax.com/video/197872-antifa-chick-learns-about-gender-equality-when-she-punches-back-the-blue-supporter-gets-ktfo,Feel Lucky?,"ManI'm sorry you had to start again brother.I hate I can't do it for you or take it away.That moon cricket shot those 2 cops while sittin,snuck up on 'em has me raging man.Totally upset but they're alive last I heard man.PTL God is good Charlie and I try but its war to me.Cops profile and people stereotype fpr a reason and this is why.Kid or not he was put up to it if it was a kid cuz he'd get no time.We cannot live together and I aint3no klan or hater in my heart but this....Hows the family man?Wife,Father in law?Boys?I missed ya on Fathers Day man.I usually call my closest friends all 2 left sides you on Mothers Day....you know Motherflogger?D says hey.Told her I looked you up.I get no notifications anymore when you post so I have to scroll back through my in box.I guess I turned that off.It would make my phone go off alla time.Glad your good.Talked w DidI and said hi.My buddy Seamus is keepin Gregs feet warm and livin the dogs life.Hit me back Charlie",c.brown,0,0,1,
54,Vidmax,"GRAPHIC- Man Questions His Wife About Another Man's Clothes In The House, Get…",[],37 comments,https://vidmax.com/video/198304-graphic-man-questions-his-wife-about-another-man-s-clothes-in-the-house-gets-stabbed-in-the-head-multiple-times,Feel Lucky?,"Dude....NO,they can't be eating those.NO!!!Thats just fookin wrong...NO NO WAY MAN...That woman is uuuuuugggggly.sheeeereeit!I'd rip her asshole out while she's alive and feed it to the coyotes,her twat too man.No wonder you're so fookin angry.I thought because you're young.....fuck me...I'll see you after I kill something..dammit that is sick Gabe.I'm still and always will be mad that mooncricket killed those 2 cops last nite.This shit is on...its war now man.",Gabe,2,?,1,
55,Vidmax,Man Livestreams Himself Pooping In Nancy Pelosi's Driveway,[],24 comments,https://vidmax.com/video/198306-man-livestreams-himself-pooping-in-nancy-pelosi-s-driveway,Feel Lucky?,Should put it in a Haagen-Dazs container and stick it in her ice cream freezer. Then she can have a special treat for dessert.,,9,?,2,?
56,Vidmax,"Driver Captures Video Of Individuals Who Look Like They Set Fires At Elk Rock, Ore…",[],17 comments,https://vidmax.com/video/198299-driver-captures-video-of-individuals-who-look-like-they-set-fires-at-elk-rock-oregon,Feel Lucky?,"Another case closed lieutenant Columbo,good job.Another Nadler like myth I think.",imallpissedoff,6,1,2,
57,Vidmax,Woman Loses Her $hit At KFC When They Refuse To Serve Her Without A Mask,[],37 comments,https://vidmax.com/video/198302-woman-loses-her-hit-at-kfc-when-they-refuse-to-serve-her-without-a-mask,Feel Lucky?,"In the walk in freezer.Locked in there for 12 hour,they'd have a fudgecicle.",Dennis Wuest,1,?,0,
58,Vidmax,Woman Loses Her $hit At KFC When They Refuse To Serve Her Without A Mask,[],37 comments,https://vidmax.com/video/198302-woman-loses-her-hit-at-kfc-when-they-refuse-to-serve-her-without-a-mask,Feel Lucky?,He means his gay brethren I think.,George Penwell,1,?,2,
59,Vidmax,"GRAPHIC- Man Questions His Wife About Another Man's Clothes In The House, Get…",[],37 comments,https://vidmax.com/video/198304-graphic-man-questions-his-wife-about-another-man-s-clothes-in-the-house-gets-stabbed-in-the-head-multiple-times,Feel Lucky?,"YeahHe ain't dyin', he just got his feels hurt.And ugly as home made sin.That female paramedic didn't seem real concerned or impressed by him.",Gabe,4,?,2,
60,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],841 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,Feel Lucky?,"I think you nailed it good.Child or not this is going to get very bad,they need to go home at night to their wife and kid,the others not so much.Trump will do the right thing he's just really got his hands full with the election but that may change quickly now.I hope so. KAG Trump 2020",Navybuckeye,3,?,0,
61,The Gateway Pundit,Iranian Regime Executes Wrestling Champion Navid Afkari Despite Global O…,['2020/09'],305 comments,https://www.thegatewaypundit.com/2020/09/iranian-regime-executes-wrestling-champion-navid-afkari-despite-global-outcry-including-plea-president-trump-update-regime-refuses-turn-body-family/,Feel Lucky?,In his mom jeans too.,Chuck Roast,1,?,2,
62,The Gateway Pundit,Iranian Regime Executes Wrestling Champion Navid Afkari Despite Global O…,['2020/09'],305 comments,https://www.thegatewaypundit.com/2020/09/iranian-regime-executes-wrestling-champion-navid-afkari-despite-global-outcry-including-plea-president-trump-update-regime-refuses-turn-body-family/,Feel Lucky?,"Agree VetI took the oath once and it still stands.ALL enemies,foreign AND domestic....I may not live to see the outcome and fallout but I want my kids and grandkids to have at least some of the world I had growing up.It's the least I could do as much as it's given me.It would be too much to know I did nothing after seeing the hellholes in other parts of the world where they all aspire to come here....the good ol US of A.They're turning me and guys like us into outcasts and outlaws.Older....White....Boomer...Guns....etc.I still aim to get to heaven,even if I gotta go thru more hell to get there.Peace",VietVet,1,?,2,
63,The Gateway Pundit,Iranian Regime Executes Wrestling Champion Navid Afkari Despite Global O…,['2020/09'],305 comments,https://www.thegatewaypundit.com/2020/09/iranian-regime-executes-wrestling-champion-navid-afkari-despite-global-outcry-including-plea-president-trump-update-regime-refuses-turn-body-family/,Feel Lucky?,"Yes ma'am.In preparation for Operation Jade Helm.I've seen them on maneuvers in Miami with my own eyes and a friend saw it in Atlanta.Obama's weaponised upper government thugs may try to implement it but I doubt seriously that rank and file soldiers,contractors and state and local police will help them....truly.It's truly evil and madness as a plan but Obama,Brennan,Comey,Pelosi,Clintons et al better run for their lives if they attempt it or hope the feds arrest them before we and our millions of patriot friends get to them.Saddam's last day will seem like a holiday comparatively.Good to see you ma'am.Peace",Susan Sloate,5,?,2,
64,The Gateway Pundit,Iranian Regime Executes Wrestling Champion Navid Afkari Despite Global O…,['2020/09'],305 comments,https://www.thegatewaypundit.com/2020/09/iranian-regime-executes-wrestling-champion-navid-afkari-despite-global-outcry-including-plea-president-trump-update-regime-refuses-turn-body-family/,Feel Lucky?,"TruthOzero created a mess and God blessed us with Trump.Had he not we'd never dig our way out of the destruction,financial and racial strife he fomented Robert as I know you're aware.It'll still be one hell of a battle but Cankles winning woulda sealed our fate for good.We are truly blessed.PeaceKAG TRUMP",Robert Hagerman,10,?,2,
