,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Hate?,Flag???,Responding to,Upvotes,Downvotes
12,The Daily Wire,Minneapolis Police Warn Business Owners ‘Reinforcements’ To Help Handle Violenc…,[],131 comments,https://www.dailywire.com/news/minneapolis-police-warn-business-owners-reinforcements-to-help-handle-violence-arent-coming-any-time-soon,Reese Witheredpoon,"I almost feel bad for residents of Mogadishu, Minnesota.",0,,,0,0
13,The Gateway Pundit,Black Lives Matter Activist Wearing 'Justice for Beonna Taylor' Shirt Walked…,['2020/09'],1304 comments,https://www.thegatewaypundit.com/2020/09/black-lives-matter-activist-wearing-justice-beonna-taylor-shirt-walked-louisville-bar-murdered-three-people/,Reese Witheredpoon,"Sick, vile reggins. Terminate all of them. #MAWA",1,,,0,0
14,cosmicbook.news,Star Wars: Pedro Pascal Difficult; Crying About Mandalorian Helmet,[],159 comments,https://cosmicbook.news/star-wars-pedro-pascal-difficult-mandalorian,Reese Witheredpoon,Your replies are hilarious and you don't even know why.,0,,wellinevertheoriginal,1,?
15,cosmicbook.news,Star Wars: Pedro Pascal Difficult; Crying About Mandalorian Helmet,[],159 comments,https://cosmicbook.news/star-wars-pedro-pascal-difficult-mandalorian,Reese Witheredpoon,And yet you keep coming back for more.,0,,wellinevertheoriginal,1,?
16,cosmicbook.news,Star Wars: Pedro Pascal Difficult; Crying About Mandalorian Helmet,[],159 comments,https://cosmicbook.news/star-wars-pedro-pascal-difficult-mandalorian,Reese Witheredpoon,I find your stupidity to be enthralling.,2,,wellinevertheoriginal,1,?
17,cosmicbook.news,Star Wars: Pedro Pascal Difficult; Crying About Mandalorian Helmet,[],159 comments,https://cosmicbook.news/star-wars-pedro-pascal-difficult-mandalorian,Reese Witheredpoon,"I can, I just can't be bothered. Now go blow your father and maybe he'll give you the keys to the car.",2,,wellinevertheoriginal,1,?
18,The Gateway Pundit,Liberal Woman Posts Selfie Video of Hysterical Meltdown Over Death of Justi…,['2020/09'],1575 comments,https://www.thegatewaypundit.com/2020/09/liberal-woman-posts-selfie-video-hysterical-meltdown-death-justice-ginsburg-ruth-just-make-2021/,Reese Witheredpoon,Ugly women loved Ruth Bader Deadturd.,2,?,,1,?
19,The Daily Wire,Suspect Arrested After Decapitating Jesus Statue Because It Was ‘The Wrong Color’,[],131 comments,https://www.dailywire.com/news/suspect-arrested-after-decapitating-jesus-statue-because-it-was-the-wrong-color,Reese Witheredpoon,"Dirty, sick, vile, inhuman reggins.",1,,,3,?
20,The Daily Wire,BREAKING: Supreme Court Justice Ruth Bader Ginsburg Dies From Cancer Compl…,[],1003 comments,https://www.dailywire.com/news/breaking-supreme-court-justice-ruth-bader-ginsburg-dies-from-cancer-complications,Reese Witheredpoon,HA HA HA HA HA HA HA HA HA HA!!!!!!!!,0,,,4,?
21,The Gateway Pundit,RUTH BADER GINSBURG DEAD!,['2020/09'],2215 comments,https://www.thegatewaypundit.com/2020/09/ruth-bader-ginsburg-dead/,Reese Witheredpoon,Civil War has already started.,2,??,Sam,5,?
22,The Gateway Pundit,RUTH BADER GINSBURG DEAD!,['2020/09'],2215 comments,https://www.thegatewaypundit.com/2020/09/ruth-bader-ginsburg-dead/,Reese Witheredpoon,George Soros will be joining her soon.,0,,Stand Tall,5,?
23,The Gateway Pundit,RUTH BADER GINSBURG DEAD!,['2020/09'],2215 comments,https://www.thegatewaypundit.com/2020/09/ruth-bader-ginsburg-dead/,Reese Witheredpoon,"Good riddance, you gross old bag.",2,,,3,?
24,Breitbart News Network,"VIDEO: Two Suspects Allegedly Beat, Slashed Man in Neck Outside Bronx Deli",['2020/09/18'],647 comments,https://www.breitbart.com/crime/2020/09/18/video-two-suspects-allegedly-beat-slash-man-neck-outside-bronx-deli/,Reese Witheredpoon,"Bronx Zoo Deli, huh? How appropriate.",0,,,3,?
25,Breitbart News Network,"Battle on the Iron Range: Donald Trump, Joe Biden Duel in Minnesota",['2020/09/18'],1168 comments,https://www.breitbart.com/2020-election/2020/09/18/battle-iron-range-trump-biden-duel-minnesota/,Reese Witheredpoon,BREAKING NEWS: Ruth Bader Ginsburg is dead!!!!!!!!,0,,,2,?
26,Breitbart News Network,Michigan Judge Extends Deadline 2 Weeks for Mail-in Ballots Postmarked by Nove…,['2020/09/18'],5383 comments,https://www.breitbart.com/politics/2020/09/18/michigan-judge-extends-deadline-two-weeks-mail-in-ballots-postmarked-november-2/,Reese Witheredpoon,Civil War 2 looms on the horizon...,2,?,,0,0
27,Breitbart News Network,Kim Klacik Battles Joy Behar over Parading ‘Around in Blackface’,['2020/09/18'],568 comments,https://www.breitbart.com/clips/2020/09/18/kim-klacik-battles-joy-behar-over-parading-around-in-blackface/,Reese Witheredpoon,Scummy Hotstink and Joy Barftard strike again!,2,,,3,?
28,Breitbart News Network,Police: Minneapolis ‘Autonomous Zone’ Delayed Emergency Response to Brutal…,['2020/09/18'],1252 comments,https://www.breitbart.com/law-and-order/2020/09/18/police-minneapolis-autonomous-zone-delayed-emergency-response-to-brutal-beating/,Reese Witheredpoon,America's toilet cities are still going strong!,2,,,5,?
29,cosmicbook.news,Star Wars: Pedro Pascal Difficult; Crying About Mandalorian Helmet,[],159 comments,https://cosmicbook.news/star-wars-pedro-pascal-difficult-mandalorian,Reese Witheredpoon,"I don't respond to some random See You Next Tuesday, sorry.",0,,wellinevertheoriginal,1,?
30,cosmicbook.news,Star Wars: Pedro Pascal Difficult; Crying About Mandalorian Helmet,[],159 comments,https://cosmicbook.news/star-wars-pedro-pascal-difficult-mandalorian,Reese Witheredpoon,"I keep wondering what those are, since I experience none of them.",0,,wellinevertheoriginal,0,0
31,cosmicbook.news,Star Wars: Pedro Pascal Difficult; Crying About Mandalorian Helmet,[],159 comments,https://cosmicbook.news/star-wars-pedro-pascal-difficult-mandalorian,Reese Witheredpoon,"I don't hate all black people, but until there is an acknowledgement that BLM are terrorists, I will avoid all things black America.",2,,Joseph Kreifels II,0,0
32,The Daily Wire,Andre Braugher: ‘Brooklyn Nine-Nine’ Should Address Police Brutality,[],225 comments,https://www.dailywire.com/news/andre-braugher-brooklyn-nine-nine-should-address-police-brutality,Reese Witheredpoon,It's time to cancel Brooklyn Nine Nine.,0,?,,33,?
33,cosmicbook.news,Tatiana Maslany Cast As She-Hulk,[],37 comments,https://cosmicbook.news/tatiana-maslany-cast-she-hulk,Reese Witheredpoon,I think she is white.,0,,Gabriel,0,0
34,The Daily Wire,Michelle Obama Recounts Childhood Incident With Brother To Claim ‘Being Bl…,[],328 comments,https://www.dailywire.com/news/michelle-obama-recounts-childhood-incident-with-brother-to-claim-being-black-is-a-crime-in-america,Reese Witheredpoon,Michelle still has that big penis energy.,2,,,1,?
35,Breitbart News Network,Twitter Censors Conservative Activist for ‘Harassing’ Pedophiles,['2020/09/16'],573 comments,https://www.breitbart.com/tech/2020/09/16/twitter-censors-conservative-activist-for-harassing-pedophiles/,Reese Witheredpoon,@Jack is the king of pedos.,2,,,0,0
36,Breitbart News Network,Connecticut Governor’s Mask Mandate Allows Non-Police to Issue Fines,['2020/09/16'],845 comments,https://www.breitbart.com/politics/2020/09/16/connecticut-governors-mask-mandate-allows-non-police-to-issue-fines/,Reese Witheredpoon,Ned Lamont Sanford: junkyard governor.,2,,,1,?
37,Breitbart News Network,Illegal Alien Brothers Accused of Raping 10-Year-Old Girl in Louisiana,['2020/09/16'],1094 comments,https://www.breitbart.com/politics/2020/09/16/illegal-alien-brothers-accused-raping-10-year-old-girl-louisiana/,Reese Witheredpoon,It's repulsive!!,0,,"KBD, Alias circa late 2020",0,0
38,Breitbart News Network,Illegal Alien Brothers Accused of Raping 10-Year-Old Girl in Louisiana,['2020/09/16'],1094 comments,https://www.breitbart.com/politics/2020/09/16/illegal-alien-brothers-accused-raping-10-year-old-girl-louisiana/,Reese Witheredpoon,"Oh wow, shocking.",0,,,1,?
39,Breitbart News Network,"Amnesty Groups Demand Bailout for Cities, States that Rely on Illegal Migrants",['2020/09/16'],575 comments,https://www.breitbart.com/politics/2020/09/16/amnesty-groups-demand-bailout-for-cities-states-that-rely-on-illegal-migrants/,Reese Witheredpoon,GET OUT OF MY COUNTRY!!!!!!!!!!,1,?,,4,?
40,Breitbart News Network,"Watch — Anti-Mask Shoppers March Through Target, Urge Others to Liberate…",['2020/09/16'],6574 comments,https://www.breitbart.com/politics/2020/09/16/watch-anti-mask-shoppers-march-through-target-urge-others-to-liberate-faces-were-not-gonna-take-it/,Reese Witheredpoon,"Relax toots, it was a joke. Can you bake me a pie?",2,,Corriandra3,0,0
41,Breitbart News Network,"Watch — Anti-Mask Shoppers March Through Target, Urge Others to Liberate…",['2020/09/16'],6574 comments,https://www.breitbart.com/politics/2020/09/16/watch-anti-mask-shoppers-march-through-target-urge-others-to-liberate-faces-were-not-gonna-take-it/,Reese Witheredpoon,Bad breath?,2,,Corriandra3,0,0
42,cosmicbook.news,Star Wars: Pedro Pascal Difficult; Crying About Mandalorian Helmet,[],159 comments,https://cosmicbook.news/star-wars-pedro-pascal-difficult-mandalorian,Reese Witheredpoon,None of that minority special treatment they've become accustomed to.,2,,Alex Chaudhari,0,0
43,cosmicbook.news,Star Wars: Pedro Pascal Difficult; Crying About Mandalorian Helmet,[],159 comments,https://cosmicbook.news/star-wars-pedro-pascal-difficult-mandalorian,Reese Witheredpoon,"Thanks to Black Lies Matter, yes.",2,,Joseph Kreifels II,0,0
44,cosmicbook.news,Star Wars: Pedro Pascal Difficult; Crying About Mandalorian Helmet,[],159 comments,https://cosmicbook.news/star-wars-pedro-pascal-difficult-mandalorian,Reese Witheredpoon,Next time hire a white guy.,2,,,1,1
45,cosmicbook.news,Ben Affleck Batman News Said To Be Justice League Investigation Distraction,[],12 comments,https://cosmicbook.news/ben-affleck-batman-distrace-justice-league,Reese Witheredpoon,Projared? The Subway pedo? You must be a Liberal.,2,,jonbonbbo,2,?
46,The Daily Wire,"Federal Officer Gunned Down Outside Courthouse In Phoenix, Suspect Taken In…",[],234 comments,https://www.dailywire.com/news/federal-officer-gunned-down-outside-courthouse-in-phoenix-suspect-taken-into-custody,Reese Witheredpoon,I'm sorry about all of that prison rape that you endured.,2,,Andrew Stern✓Cᵒⁿˢᵗᶦᵗᵘᵗᶦᵒⁿᵃˡᶦˢᵗ,0,0
47,The Daily Wire,"Federal Officer Gunned Down Outside Courthouse In Phoenix, Suspect Taken In…",[],234 comments,https://www.dailywire.com/news/federal-officer-gunned-down-outside-courthouse-in-phoenix-suspect-taken-into-custody,Reese Witheredpoon,"Okay Communist. It's 10:30, shouldn't you be out burning things?",2,,Andrew Stern✓Cᵒⁿˢᵗᶦᵗᵘᵗᶦᵒⁿᵃˡᶦˢᵗ,1,1
48,The Daily Wire,"Federal Officer Gunned Down Outside Courthouse In Phoenix, Suspect Taken In…",[],234 comments,https://www.dailywire.com/news/federal-officer-gunned-down-outside-courthouse-in-phoenix-suspect-taken-into-custody,Reese Witheredpoon,Make it Federal Law: mandatory death sentence for killing or trying to kill law enforcement.,2,?,,2,1
49,The Gateway Pundit,De Blasio Cancels Macy's Thanksgiving Day Parade -- Killing NYC Economy Further,['2020/09'],340 comments,https://www.thegatewaypundit.com/2020/09/de-blasio-cancels-macys-thanksgiving-day-parade-killing-nyc-economy/,Reese Witheredpoon,They really showed us by electing another Democrat!,0,,billjones,1,?
50,The Daily Wire,Petition Launched To Recall Socialist Seattle Councilmember. City Council Vot…,[],229 comments,https://www.dailywire.com/news/petition-launched-to-recall-socialist-seattle-councilmember-city-council-votes-to-pay-for-her-legal-defense,Reese Witheredpoon,Don't elect scum with non-American names.,2,?,,4,?
51,cosmicbook.news,"Ant-Man 3: New Costumes, Massive, Avengers-level movie",[],2 comments,https://cosmicbook.news/ant-man-3-new-costumes-massive-sets,Reese Witheredpoon,The Eternals is too busy focusing on that much desired Bollywood dance scene.,2,,BlackPegasus,2,?
52,cosmicbook.news,Olivia Wilde Will 'Reframe' Spider-Woman,[],13 comments,https://cosmicbook.news/olivia-wilde-reframing-spider-woman,Reese Witheredpoon,Sounds like another steaming pile...,2,???,,2,?
53,Breitbart News Network,Venezuelans Forced to Sleep on Streets After Flooding Ravages Towns,['2020/09/14'],57 comments,https://www.breitbart.com/national-security/2020/09/14/venezuelans-forced-sleep-streets-flooding-ravages-towns/,Reese Witheredpoon,That's a good man.,0,,Mackerel1,0,0
54,Breitbart News Network,Venezuelans Forced to Sleep on Streets After Flooding Ravages Towns,['2020/09/14'],57 comments,https://www.breitbart.com/national-security/2020/09/14/venezuelans-forced-sleep-streets-flooding-ravages-towns/,Reese Witheredpoon,I would happily do a one-to-one trade in exchange for every Venezuelan who vehemently opposes Socialism! I'd love to see BLM and Antifa scum try to survive in a country that doesn't care about their salty tears.,2,,K. West,1,?
55,Breitbart News Network,Venezuelans Forced to Sleep on Streets After Flooding Ravages Towns,['2020/09/14'],57 comments,https://www.breitbart.com/national-security/2020/09/14/venezuelans-forced-sleep-streets-flooding-ravages-towns/,Reese Witheredpoon,"I was watching a great show on Hulu called Border Force. It's all about our boys at the Texan border dealing mainly with cartels trying to constantly sneak drugs across the border. In addition, there were the typical people trying to obtain asylum. EVERY time a person from Venezuela arrived, I was practically shouting ""Let them in!!"" at the screen. Not only should they not have to live like that in that disgusting country, but I feel like these are the people who will come here and become the voices against Socialism. And God knows we need more like that.",2,,,0,0
56,Breitbart News Network,Southwest Plane Returned to Gate to Boot Off Mom and Son After 2-Year-Old Remov…,['2020/09/14'],1005 comments,https://www.breitbart.com/politics/2020/09/14/southwest-plane-returned-to-gate-to-boot-off-mom-and-son-after-2-year-old-removed-mask-to-snack/,Reese Witheredpoon,Exactly.,0,,Covfefeghost,1,?
57,Breitbart News Network,Southwest Plane Returned to Gate to Boot Off Mom and Son After 2-Year-Old Remov…,['2020/09/14'],1005 comments,https://www.breitbart.com/politics/2020/09/14/southwest-plane-returned-to-gate-to-boot-off-mom-and-son-after-2-year-old-removed-mask-to-snack/,Reese Witheredpoon,They aren't flattening the curve of that flight attendant's pinhead.,2,,nulaqmi,3,?
58,Breitbart News Network,Southwest Plane Returned to Gate to Boot Off Mom and Son After 2-Year-Old Remov…,['2020/09/14'],1005 comments,https://www.breitbart.com/politics/2020/09/14/southwest-plane-returned-to-gate-to-boot-off-mom-and-son-after-2-year-old-removed-mask-to-snack/,Reese Witheredpoon,All of this for a virus that has killed less people than the seasonal flu. Shameful.,2,,,6,?
59,Breitbart News Network,‘Star Wars’ Star John Boyega Quits Perfume Ambassador Role After Chinese…,['2020/09/15'],578 comments,https://www.breitbart.com/entertainment/2020/09/15/star-wars-star-john-boyega-quits-perfume-ambassador-role-after-chinese-actor-replaced-him-in-an-ad/,Reese Witheredpoon,Who cares? I hate this clown.,2,,,1,?
60,cosmicbook.news,Ant-Man 3: Jonathan Majors Cast As Kang The Conqueror,[],50 comments,https://cosmicbook.news/ant-man-3-jonathan-majors-kang-conqueror,Reese Witheredpoon,Pedo!!!!!,2,,Kipper Parrish,2,?
61,Breitbart News Network,"Atlantic Op-ed: Democrats Will Riot If They Lose, Therefore Republicans Should Let…",['2020/09/14'],2706 comments,https://www.breitbart.com/2020-election/2020/09/14/atlantic-op-ed-democrats-will-riot-if-they-lose-therefore-republicans-should-let-biden-win/,Reese Witheredpoon,Written by Shadi Hamid so you immediately know this is coming from trash.,2,,,1,?
62,Breitbart News Network,YouTube Censors Video of Trump Coronavirus Adviser for Contradicting W.…,['2020/09/14'],397 comments,https://www.breitbart.com/tech/2020/09/14/youtube-censors-video-of-trump-coronavirus-adviser-for-contradicting-w-h-o/,Reese Witheredpoon,"That woman from YouTube - the one in the main pic for this article - is incredibly ugly. She makes me disappear inside of myself like a frightened turtle, if you catch my drift.",2,,,1,?
63,Breitbart News Network,Miles Cyrus Pushes Young People to Vote for ‘Someone Fit’ for Presidency,['2020/09/14'],985 comments,https://www.breitbart.com/entertainment/2020/09/14/miles-cyrus-pushes-young-people-to-vote-for-someone-fit-for-presidency/,Reese Witheredpoon,"Living in Cincinnati, I know many smart, wonderful people from Kentucky. They aren't like this dumpster fire.",2,,ND,1,?
64,Breitbart News Network,Miles Cyrus Pushes Young People to Vote for ‘Someone Fit’ for Presidency,['2020/09/14'],985 comments,https://www.breitbart.com/entertainment/2020/09/14/miles-cyrus-pushes-young-people-to-vote-for-someone-fit-for-presidency/,Reese Witheredpoon,I think that's Lizzo. Change the L to an H and the z's to p's and you get Hippo! Words are fun.,2,,Niccolo,0,0
65,Breitbart News Network,Miles Cyrus Pushes Young People to Vote for ‘Someone Fit’ for Presidency,['2020/09/14'],985 comments,https://www.breitbart.com/entertainment/2020/09/14/miles-cyrus-pushes-young-people-to-vote-for-someone-fit-for-presidency/,Reese Witheredpoon,Is that similar to (C)ortez's (U)nbelievable (N)ag (T)eeth?,2,,nerdchild,1,?
66,Breitbart News Network,Miles Cyrus Pushes Young People to Vote for ‘Someone Fit’ for Presidency,['2020/09/14'],985 comments,https://www.breitbart.com/entertainment/2020/09/14/miles-cyrus-pushes-young-people-to-vote-for-someone-fit-for-presidency/,Reese Witheredpoon,Because the premiere victim of Hollywood Pedophilia run rampant is exactly who America needs to take political advice from.,2,,,1,?
67,Breitbart News Network,Brzezinski: People Voting for Trump Are Voting for a ‘Dictator’,['2020/09/14'],1485 comments,https://www.breitbart.com/clips/2020/09/14/brzezinski-people-voting-for-trump-are-voting-for-a-dictator/,Reese Witheredpoon,Morning Joe's dicktaster talking about a dictator. Hilarious.,2,,,1,?
68,Breitbart News Network,Nolte: ‘Tenet’ and ‘Wonder Woman’ Prove Movies Are Still Dead,['2020/09/14'],846 comments,https://www.breitbart.com/entertainment/2020/09/14/nolte-tenet-and-wonder-woman-prove-movies-are-still-dead/,Reese Witheredpoon,I no longer patronize movies with a black actor in the lead role.,2,?,Caius Keys,1,?
69,Breitbart News Network,"At Least 50 Shot, 11 Fatally, During Weekend in Mayor Lightfoot’s Chicago",['2020/09/14'],853 comments,https://www.breitbart.com/politics/2020/09/14/at-least-50-shot-11-fatally-during-weekend-in-mayor-lightfoots-chicago/,Reese Witheredpoon,"What's the summer total, is anyone keeping count?",0,,,0,0
70,Breitbart News Network,Watch: Douglas Murray – ‘America Has All the Bases Set for Civil War’,['2020/09/14'],3069 comments,https://www.breitbart.com/europe/2020/09/14/watch-douglas-murray-america-has-all-the-bases-set-for-civil-war/,Reese Witheredpoon,"I heard the Libs will be lead by high ranking military leader Brie Larson, aka Captain Marvel. She does her own stunts and will charge into battle in her Nissan Sentra, but only after she drops the taco.",0,?,,3,?
71,cosmicbook.news,Spider-Man 3 2021 Films In November Reveals Casting Info,[],15 comments,https://cosmicbook.news/spider-man-3-filming-november-casting,Reese Witheredpoon,"Thanks, pedo!",2,,wellinevertheoriginal,0,0
72,cosmicbook.news,Spider-Man 3 2021 Films In November Reveals Casting Info,[],15 comments,https://cosmicbook.news/spider-man-3-filming-november-casting,Reese Witheredpoon,What a Boy Scout leader you are! How many of them have you molested?,2,,wellinevertheoriginal,1,?
73,cosmicbook.news,Spider-Man 3 2021 Films In November Reveals Casting Info,[],15 comments,https://cosmicbook.news/spider-man-3-filming-november-casting,Reese Witheredpoon,"You're on the internet, Blumpkin. Use it.",2,,wellinevertheoriginal,1,?
74,The Daily Wire,"Candace Owens Calls Out LeBron James, BLM For Anti-Cop Rhetoric After LA Sheri…",[],510 comments,https://www.dailywire.com/news/candace-owens-calls-out-lebron-james-blm-for-anti-cop-rhetoric-after-la-sheriff-ambush,Reese Witheredpoon,The other apes rejected him.,1,,Jackson Brannon,2,?
75,The Daily Wire,"Candace Owens Calls Out LeBron James, BLM For Anti-Cop Rhetoric After LA Sheri…",[],510 comments,https://www.dailywire.com/news/candace-owens-calls-out-lebron-james-blm-for-anti-cop-rhetoric-after-la-sheriff-ambush,Reese Witheredpoon,I despise reggins.,1,,,0,0
76,The Gateway Pundit,Transgender Satanist Whose Slogan Is “F*** The Police” Wins GOP Primary For…,['2020/09'],780 comments,https://www.thegatewaypundit.com/2020/09/transgender-satanist-whose-slogan-f-police-wins-gop-primary-county-new-hampshire-county-sheriff/,Reese Witheredpoon,An absolute monster and a disgrace to humanity.,2,,,0,0
77,Breitbart News Network,Mike Bloomberg Pledges $100 Million to Flip Florida for Joe Biden,['2020/09/13'],2089 comments,https://www.breitbart.com/politics/2020/09/13/mike-bloomberg-pledges-100-million-to-flip-florida-for-joe-biden/,Reese Witheredpoon,Short men go through life so angry.,2,,,4,?
78,The Gateway Pundit,"Unhinged NPR Hack Reporter Josie Huang Flattened to Pavement, Cuffed and Arres…",['2020/09'],498 comments,https://www.thegatewaypundit.com/2020/09/unhinged-npr-hack-reporter-josie-huang-flattened-pavement-cuffed-arrested-rushed-police-outside-hospital-blocked-blm-mob/,Reese Witheredpoon,Execute her.,1,,,4,?
79,Breitbart News Network,"Slate Blames ‘Right Wing Moral Panic,’ Breitbart for ‘Cuties’ Backlash",['2020/09/13'],1425 comments,https://www.breitbart.com/entertainment/2020/09/13/slate-blames-right-wing-moral-panic-breitbart-for-cuties-backlash/,Reese Witheredpoon,Some garbage French Muslim.,2,,dontlikebullies,0,0
80,The Daily Wire,Two Sheriff’s Deputies Shot In Los Angeles In Ambush,[],261 comments,https://www.dailywire.com/news/two-sheriffs-deputies-shot-in-los-angeles-in-ambush,Reese Witheredpoon,Of course.,0,,Wes 76,0,0
81,The Daily Wire,Two Sheriff’s Deputies Shot In Los Angeles In Ambush,[],261 comments,https://www.dailywire.com/news/two-sheriffs-deputies-shot-in-los-angeles-in-ambush,Reese Witheredpoon,Dollars to doughnuts he's one of Obama's sons.,0,,,7,?
82,Breitbart News Network,"Portland Mugshots: Several Arrestees, Including Serial Offenders, Released",['2020/09/12'],3507 comments,https://www.breitbart.com/politics/2020/09/12/portland-mugshots-several-arrestees-including-serial-offenders-released/,Reese Witheredpoon,Yep.,0,,Andy,0,0
83,The Gateway Pundit,Surveillance Video of Ambush Shooting of LA Sheriff Deputies Released,['2020/09'],839 comments,https://www.thegatewaypundit.com/2020/09/surveillance-video-ambush-shooting-la-sheriff-deputies-released/,Reese Witheredpoon,"Sick, vile reggins.",1,,,1,?
84,cosmicbook.news,Bendis Off Superman I december | Kosmiska boknyheter,[],3 comments,https://cosmicbook.news/bendis-off-superman-december,Reese Witheredpoon,Brian Michael Bendover.,0,,,2,?
85,cosmicbook.news,Chris Evans Nudes Leak; Captain America Trending,[],40 comments,https://cosmicbook.news/chris-evans-nudes-leak-captain-america,Reese Witheredpoon,Absolutely. Being a pedo is a Liberal rite of passage.,2,,giftofgab247,3,?
86,cosmicbook.news,Chris Evans Nudes Leak; Captain America Trending,[],40 comments,https://cosmicbook.news/chris-evans-nudes-leak-captain-america,Reese Witheredpoon,Kipper Parrish is already printing them out and handing them to the kids at McDonald's Playland.,0,,TheLaughingMan,4,?
87,cosmicbook.news,Chris Evans Nudes Leak; Captain America Trending,[],40 comments,https://cosmicbook.news/chris-evans-nudes-leak-captain-america,Reese Witheredpoon,Typical Liberal. He was reaching out directly to his under-10 fan base.,2,?,,2,?
88,cosmicbook.news,Batwoman Javicia Leslie Getting New Suit For Season 2,[],7 comments,https://cosmicbook.news/batwoman-javicia-leslie-new-suit-season-2,Reese Witheredpoon,Annnnnnddd... no one cares.,0,,,4,?
89,Breitbart News Network,WATCH: Chloe x Halle Sing National Anthem in Shirts Honoring Breonna Tayl…,['2020/09/10'],761 comments,https://www.breitbart.com/sports/2020/09/10/watch-chloe-x-halle-sing-national-anthem-in-shirts-honoring-breonna-taylor-george-floyd/,Reese Witheredpoon,I'd love to see two ashes filled urns force me into a basement!!,0,,Guest,0,0
90,Breitbart News Network,WATCH: Chloe x Halle Sing National Anthem in Shirts Honoring Breonna Tayl…,['2020/09/10'],761 comments,https://www.breitbart.com/sports/2020/09/10/watch-chloe-x-halle-sing-national-anthem-in-shirts-honoring-breonna-taylor-george-floyd/,Reese Witheredpoon,Isn't it time for you to shine my shoes?,2,,Guest,0,0
